ID,Pe_F,Pe_R,Pe_ratio,Span_F,Span_R,Span_ratio,MAG_ID,SLG_ID
k141_101933:26179-26197-26525-26543,0,8,1.0,0,4,1.0,SLG1208_DASTool_bins_22_sub,SLG1173
k141_102120:47808-47822-47955-47969,20,14,0.41,11,7,0.39,SLG443_DASTool_bins_SLG443_bin.96,SLG529
k141_102120:47808-47822-47955-47969,10,6,0.38,6,5,0.45,SLG443_DASTool_bins_SLG443_bin.96,SLG442
k141_102120:47808-47822-47955-47969,6,6,0.5,3,4,0.57,SLG443_DASTool_bins_SLG443_bin.96,SLG192
k141_102120:47808-47822-47955-47969,0,20,1.0,0,16,1.0,SLG443_DASTool_bins_SLG443_bin.96,SLG991
k141_102120:47808-47822-47955-47969,6,12,0.67,2,8,0.8,SLG443_DASTool_bins_SLG443_bin.96,SLG222
k141_102120:47808-47822-47955-47969,2,18,0.9,2,11,0.85,SLG443_DASTool_bins_SLG443_bin.96,SLG992
k141_102120:47808-47822-47955-47969,12,6,0.33,9,5,0.36,SLG443_DASTool_bins_SLG443_bin.96,SLG653
k141_102120:47808-47822-47955-47969,2,8,0.8,2,5,0.71,SLG443_DASTool_bins_SLG443_bin.96,SLG221
k141_102120:47808-47822-47955-47969,6,10,0.62,3,6,0.67,SLG443_DASTool_bins_SLG443_bin.96,SLG194
k141_102120:47808-47822-47955-47969,24,18,0.43,13,14,0.52,SLG443_DASTool_bins_SLG443_bin.96,SLG421
k141_102120:47808-47822-47955-47969,10,30,0.75,5,17,0.77,SLG443_DASTool_bins_SLG443_bin.96,SLG423
k141_102120:47808-47822-47955-47969,10,12,0.55,5,6,0.55,SLG443_DASTool_bins_SLG443_bin.96,SLG422
k141_102120:47808-47822-47955-47969,2,18,0.9,1,12,0.92,SLG443_DASTool_bins_SLG443_bin.96,SLG1205
k141_102120:47808-47822-47955-47969,6,8,0.57,5,6,0.55,SLG443_DASTool_bins_SLG443_bin.96,SLG326B
k141_102120:47808-47822-47955-47969,2,14,0.88,1,5,0.83,SLG443_DASTool_bins_SLG443_bin.96,SLG1007
k141_102120:47808-47822-47955-47969,36,20,0.36,23,15,0.39,SLG443_DASTool_bins_SLG443_bin.96,SLG1120
k141_102120:47808-47822-47955-47969,2,14,0.88,2,7,0.78,SLG443_DASTool_bins_SLG443_bin.96,SLG595
k141_102120:47808-47822-47955-47969,2,8,0.8,1,6,0.86,SLG443_DASTool_bins_SLG443_bin.96,SLG1103
k141_102120:47808-47822-47955-47969,8,16,0.67,4,13,0.76,SLG443_DASTool_bins_SLG443_bin.96,SLG657
k141_102120:47808-47822-47955-47969,2,6,0.75,1,4,0.8,SLG443_DASTool_bins_SLG443_bin.96,SLG886
k141_102120:47808-47822-47955-47969,8,12,0.6,4,10,0.71,SLG443_DASTool_bins_SLG443_bin.96,SLG777
k141_102120:47808-47822-47955-47969,12,8,0.4,9,7,0.44,SLG443_DASTool_bins_SLG443_bin.96,SLG1172
k141_102120:47808-47822-47955-47969,8,6,0.43,4,4,0.5,SLG443_DASTool_bins_SLG443_bin.96,SLG938
k141_102120:47808-47822-47955-47969,4,6,0.6,3,5,0.62,SLG443_DASTool_bins_SLG443_bin.96,SLG710
k141_102120:47808-47822-47955-47969,12,24,0.67,10,18,0.64,SLG443_DASTool_bins_SLG443_bin.96,SLG617
k141_102120:47808-47822-47955-47969,8,6,0.43,6,4,0.4,SLG443_DASTool_bins_SLG443_bin.96,SLG1155.555
k141_103419:8865-8884-9009-9028,6,10,0.62,3,5,0.62,SLG1007_DASTool_bins_89,SLG444
k141_104939:123138-123157-123709-123728,0,10,1.0,0,5,1.0,SLG1105_DASTool_bins_90,SLG1122
k141_10546:10470-10491-10577-10598,12,8,0.4,11,6,0.35,SLG191_DASTool_bins_89,SLG777
k141_10546:10470-10491-10577-10598,2,6,0.75,2,4,0.67,SLG191_DASTool_bins_89,SLG219
k141_10546:10470-10491-10577-10598,12,6,0.33,7,4,0.36,SLG191_DASTool_bins_89,SLG614
k141_10745:26586-26602-26789-26805,0,8,1.0,0,5,1.0,SLG1207_DASTool_bins_SLG1207_bin.7,SLG1102
k141_10745:26586-26602-26789-26805,2,12,0.86,2,7,0.78,SLG1207_DASTool_bins_SLG1207_bin.7,SLG941
k141_108040:5669-5689-5778-5798,0,28,1.0,0,18,1.0,SLG191_DASTool_bins_89,SLG657
k141_108040:5669-5689-5778-5798,36,36,0.5,30,24,0.44,SLG191_DASTool_bins_89,SLG942
k141_108040:5669-5689-5778-5798,2,10,0.83,1,7,0.88,SLG191_DASTool_bins_89,SLG194
k141_108040:5669-5689-5778-5798,6,8,0.57,3,5,0.62,SLG191_DASTool_bins_89,SLG941
k141_108040:5669-5689-5778-5798,0,40,1.0,0,27,1.0,SLG191_DASTool_bins_89,SLG620
k141_108040:5669-5689-5778-5798,4,24,0.86,2,17,0.89,SLG191_DASTool_bins_89,SLG222
k141_108040:5669-5689-5778-5798,2,18,0.9,2,11,0.85,SLG191_DASTool_bins_89,SLG1007
k141_108040:5669-5689-5778-5798,2,18,0.9,2,11,0.85,SLG191_DASTool_bins_89,SLG529
k141_108040:5669-5689-5778-5798,0,18,1.0,0,14,1.0,SLG191_DASTool_bins_89,SLG937
k141_108040:5669-5689-5778-5798,4,18,0.82,2,12,0.86,SLG191_DASTool_bins_89,SLG613
k141_108040:5669-5689-5778-5798,2,8,0.8,1,4,0.8,SLG191_DASTool_bins_89,SLG219
k141_108040:5669-5689-5778-5798,22,16,0.42,15,12,0.44,SLG191_DASTool_bins_89,SLG424
k141_108040:5669-5689-5778-5798,32,20,0.38,21,14,0.4,SLG191_DASTool_bins_89,SLG1103
k141_108040:5669-5689-5778-5798,6,6,0.5,5,4,0.44,SLG191_DASTool_bins_89,SLG596
k141_108040:5669-5689-5778-5798,0,6,1.0,0,5,1.0,SLG191_DASTool_bins_89,SLG615
k141_108040:5669-5689-5778-5798,0,8,1.0,0,6,1.0,SLG191_DASTool_bins_89,SLG442
k141_108040:5669-5689-5778-5798,2,18,0.9,1,15,0.94,SLG191_DASTool_bins_89,SLG614
k141_108040:5669-5689-5778-5798,10,32,0.76,7,24,0.77,SLG191_DASTool_bins_89,SLG220
k141_108040:5669-5689-5778-5798,10,28,0.74,4,16,0.8,SLG191_DASTool_bins_89,SLG326B
k141_108040:5669-5689-5778-5798,6,10,0.62,6,7,0.54,SLG191_DASTool_bins_89,SLG709
k141_108040:5669-5689-5778-5798,0,20,1.0,0,12,1.0,SLG191_DASTool_bins_89,SLG1205
k141_108040:5669-5689-5778-5798,0,40,1.0,0,21,1.0,SLG191_DASTool_bins_89,SLG1121
k141_108040:5669-5689-5778-5798,0,28,1.0,0,21,1.0,SLG191_DASTool_bins_89,SLG1155.554
k141_108040:5669-5689-5778-5798,0,24,1.0,0,18,1.0,SLG191_DASTool_bins_89,SLG1155.555
k141_108040:5669-5689-5778-5798,8,6,0.43,7,4,0.36,SLG191_DASTool_bins_89,SLG191
k141_108040:5669-5689-5778-5798,2,48,0.96,2,32,0.94,SLG191_DASTool_bins_89,SLG886
k141_108040:5669-5689-5778-5798,2,18,0.9,1,15,0.94,SLG191_DASTool_bins_89,SLG991
k141_108040:5669-5689-5778-5798,0,34,1.0,0,21,1.0,SLG191_DASTool_bins_89,SLG1213
k141_108040:5669-5689-5778-5798,0,6,1.0,0,4,1.0,SLG191_DASTool_bins_89,SLG1120
k141_108040:5669-5689-5778-5798,0,36,1.0,0,27,1.0,SLG191_DASTool_bins_89,SLG1214
k141_108040:5669-5689-5778-5798,20,78,0.8,14,56,0.8,SLG191_DASTool_bins_89,SLG192
k141_108040:5669-5689-5778-5798,6,6,0.5,3,5,0.62,SLG191_DASTool_bins_89,SLG887
k141_108040:5669-5689-5778-5798,0,12,1.0,0,8,1.0,SLG191_DASTool_bins_89,SLG938
k141_108040:5669-5689-5778-5798,8,118,0.94,3,85,0.97,SLG191_DASTool_bins_89,SLG776
k141_108040:5669-5689-5778-5798,2,22,0.92,0,16,1.0,SLG191_DASTool_bins_89,SLG777
k141_108040:5669-5689-5778-5798,2,36,0.95,2,30,0.94,SLG191_DASTool_bins_89,SLG1132
k141_108496:60941-60962-61049-61070,12,12,0.5,8,9,0.53,SLG191_DASTool_bins_89,SLG1007
k141_108496:60941-60962-61049-61070,40,6,0.13,27,5,0.16,SLG191_DASTool_bins_89,SLG886
k141_108496:60941-60962-61049-61070,12,6,0.33,7,6,0.46,SLG191_DASTool_bins_89,SLG593
k141_108496:60941-60962-61049-61070,104,6,0.05,54,5,0.08,SLG191_DASTool_bins_89,SLG776
k141_108496:60941-60962-61049-61070,14,12,0.46,10,6,0.38,SLG191_DASTool_bins_89,SLG1205
k141_108615:20473-20491-20627-20645,0,8,1.0,0,5,1.0,SLG1205_DASTool_bins_SLG1205_bin.96,SLG1007
k141_108615:20473-20491-20627-20645,0,10,1.0,0,5,1.0,SLG1205_DASTool_bins_SLG1205_bin.96,SLG654
k141_109040:26518-26545-26709-26736,0,6,1.0,0,4,1.0,SLG656_DASTool_bins_4_sub,SLG1121
k141_109975:5728-5746-5841-5859,10,10,0.5,5,5,0.5,SLG422_DASTool_bins_SLG422_bin.108,SLG1102
k141_112408:1616-1630-1925-1939,0,6,1.0,0,4,1.0,SLG1172_DASTool_bins_SLG1172_bin.74,SLG1163
k141_113839:4908-4923-5020-5035,2,6,0.75,2,5,0.71,SLG1010_DASTool_bins_SLG1010_bin.79,SLG530
k141_114211:25557-25590-25794-25827,0,10,1.0,0,9,1.0,SLG658_DASTool_bins_82,SLG444
k141_114211:25557-25590-25794-25827,0,12,1.0,0,6,1.0,SLG658_DASTool_bins_82,SLG1155.555
k141_114211:25557-25590-25794-25827,6,8,0.57,3,4,0.57,SLG658_DASTool_bins_82,SLG1172
k141_114211:25557-25590-25794-25827,0,10,1.0,0,6,1.0,SLG658_DASTool_bins_82,SLG1105
k141_114211:25557-25590-25794-25827,0,6,1.0,0,4,1.0,SLG658_DASTool_bins_82,SLG1123
k141_114211:25557-25590-25794-25827,2,6,0.75,0,4,1.0,SLG658_DASTool_bins_82,SLG655
k141_114715:22402-22422-22510-22530,2,12,0.86,1,8,0.89,SLG191_DASTool_bins_89,SLG1132
k141_114715:22402-22422-22510-22530,24,6,0.2,17,5,0.23,SLG191_DASTool_bins_89,SLG620
k141_114715:22402-22422-22510-22530,132,16,0.11,97,15,0.13,SLG191_DASTool_bins_89,SLG776
k141_114715:22402-22422-22510-22530,30,12,0.29,21,10,0.32,SLG191_DASTool_bins_89,SLG1213
k141_114715:22402-22422-22510-22530,6,6,0.5,3,5,0.62,SLG191_DASTool_bins_89,SLG653
k141_114715:22402-22422-22510-22530,0,12,1.0,0,8,1.0,SLG191_DASTool_bins_89,SLG938
k141_114715:22402-22422-22510-22530,0,8,1.0,0,6,1.0,SLG191_DASTool_bins_89,SLG1155.555
k141_114715:22402-22422-22510-22530,22,6,0.21,20,4,0.17,SLG191_DASTool_bins_89,SLG614
k141_114715:22402-22422-22510-22530,12,8,0.4,7,7,0.5,SLG191_DASTool_bins_89,SLG615
k141_114715:22402-22422-22510-22530,48,8,0.14,31,5,0.14,SLG191_DASTool_bins_89,SLG1121
k141_114715:22402-22422-22510-22530,0,30,1.0,0,23,1.0,SLG191_DASTool_bins_89,SLG1155.554
k141_114715:22402-22422-22510-22530,6,52,0.9,3,37,0.92,SLG191_DASTool_bins_89,SLG1103
k141_114715:22402-22422-22510-22530,6,8,0.57,3,6,0.67,SLG191_DASTool_bins_89,SLG596
k141_114715:22402-22422-22510-22530,0,12,1.0,0,8,1.0,SLG191_DASTool_bins_89,SLG529
k141_114715:22402-22422-22510-22530,0,8,1.0,0,7,1.0,SLG191_DASTool_bins_89,SLG1120
k141_114715:22402-22422-22510-22530,6,36,0.86,1,23,0.96,SLG191_DASTool_bins_89,SLG1214
k141_114715:22402-22422-22510-22530,26,8,0.24,20,5,0.2,SLG191_DASTool_bins_89,SLG220
k141_114715:22402-22422-22510-22530,0,24,1.0,0,19,1.0,SLG191_DASTool_bins_89,SLG222
k141_114715:22402-22422-22510-22530,82,14,0.15,61,9,0.13,SLG191_DASTool_bins_89,SLG192
k141_114715:22402-22422-22510-22530,20,8,0.29,12,8,0.4,SLG191_DASTool_bins_89,SLG941
k141_114715:22402-22422-22510-22530,0,22,1.0,0,14,1.0,SLG191_DASTool_bins_89,SLG991
k141_118580:2387-2401-2864-2878,0,6,1.0,0,6,1.0,SLG1120_DASTool_bins_150,SLG192
k141_11906:371-393-478-500,22,8,0.27,16,6,0.27,SLG191_DASTool_bins_89,SLG614
k141_11906:371-393-478-500,12,26,0.68,10,17,0.63,SLG191_DASTool_bins_89,SLG1121
k141_11906:371-393-478-500,30,10,0.25,22,8,0.27,SLG191_DASTool_bins_89,SLG991
k141_11906:371-393-478-500,114,8,0.07,75,4,0.05,SLG191_DASTool_bins_89,SLG776
k141_11906:371-393-478-500,26,6,0.19,17,4,0.19,SLG191_DASTool_bins_89,SLG942
k141_11906:371-393-478-500,42,8,0.16,28,6,0.18,SLG191_DASTool_bins_89,SLG424
k141_11906:371-393-478-500,98,8,0.08,61,6,0.09,SLG191_DASTool_bins_89,SLG192
k141_119604:22561-22576-22685-22700,0,6,1.0,0,5,1.0,SLG658_DASTool_bins_82,SLG709
k141_119698:387-402-482-497,0,6,1.0,0,4,1.0,SLG421_DASTool_bins_82,SLG656
k141_120494:13459-13482-13743-13766,2,12,0.86,0,5,1.0,SLG1009_DASTool_bins_SLG1009_bin.39,SLG1216
k141_120494:13459-13482-13743-13766,0,28,1.0,0,16,1.0,SLG1009_DASTool_bins_SLG1009_bin.39,SLG221
k141_120494:13459-13482-13743-13766,0,20,1.0,0,10,1.0,SLG1009_DASTool_bins_SLG1009_bin.39,SLG1010
k141_120494:13459-13482-13743-13766,0,18,1.0,0,9,1.0,SLG1009_DASTool_bins_SLG1009_bin.39,SLG939
k141_120494:13459-13482-13743-13766,6,16,0.73,3,11,0.79,SLG1009_DASTool_bins_SLG1009_bin.39,SLG889
k141_12080:79717-79745-80220-80248,24,6,0.2,14,6,0.3,SLG421_DASTool_bins_143,SLG192
k141_122209:55975-55998-56562-56585,20,10,0.33,15,6,0.29,SLG887_DASTool_bins_SLG887_bin.70,SLG222
k141_122209:55975-55998-56562-56585,12,12,0.5,10,6,0.38,SLG887_DASTool_bins_SLG887_bin.70,SLG709
k141_122209:55975-55998-56562-56585,18,14,0.44,9,7,0.44,SLG887_DASTool_bins_SLG887_bin.70,SLG594
k141_124982:33564-33589-33794-33819,12,6,0.33,6,5,0.45,SLG220_DASTool_bins_SLG220_bin.48,SLG938
k141_124982:33564-33589-33794-33819,2,8,0.8,1,5,0.83,SLG220_DASTool_bins_SLG220_bin.48,SLG443
k141_124982:33564-33589-33794-33819,8,10,0.56,6,4,0.4,SLG220_DASTool_bins_SLG220_bin.48,SLG530
k141_125061:19274-19298-19412-19436,0,6,1.0,0,4,1.0,SLG443_DASTool_bins_91_sub,SLG1155.554
k141_125246:40022-40042-40131-40151,22,14,0.39,20,12,0.38,SLG191_DASTool_bins_89,SLG942
k141_125246:40022-40042-40131-40151,10,20,0.67,7,15,0.68,SLG191_DASTool_bins_89,SLG424
k141_125246:40022-40042-40131-40151,24,22,0.48,19,12,0.39,SLG191_DASTool_bins_89,SLG777
k141_125246:40022-40042-40131-40151,16,6,0.27,11,4,0.27,SLG191_DASTool_bins_89,SLG220
k141_125246:40022-40042-40131-40151,24,8,0.25,18,8,0.31,SLG191_DASTool_bins_89,SLG615
k141_125246:40022-40042-40131-40151,14,6,0.3,12,4,0.25,SLG191_DASTool_bins_89,SLG1121
k141_128800:78879-78914-79147-79182,0,6,1.0,0,6,1.0,SLG529_DASTool_bins_SLG529_bin.52_sub,SLG942
k141_129886:6608-6622-6771-6785,536,6,0.01,350,6,0.02,SLG530_DASTool_bins_SLG530_bin.051,SLG1207
k141_131484:42204-42233-42610-42639,4,16,0.8,0,8,1.0,SLG1122_DASTool_bins_78,SLG1123
k141_132779:32796-32815-32931-32950,4,6,0.6,2,6,0.75,SLG594_DASTool_bins_SLG594_bin.32,SLG220
k141_132779:887-917-1050-1080,4,6,0.6,3,5,0.62,SLG594_DASTool_bins_SLG594_bin.32,SLG421
k141_132779:887-917-1050-1080,0,8,1.0,0,4,1.0,SLG594_DASTool_bins_SLG594_bin.32,SLG1008
k141_133846:47535-47562-47768-47795,12,12,0.5,5,6,0.55,SLG992_DASTool_bins_86,SLG992
k141_133846:47535-47562-47768-47795,0,8,1.0,0,4,1.0,SLG992_DASTool_bins_86,SLG1155.555
k141_133846:47535-47562-47768-47795,0,6,1.0,0,4,1.0,SLG992_DASTool_bins_86,SLG660
k141_136476:32622-32654-33024-33056,6,12,0.67,4,6,0.6,SLG1122_DASTool_bins_78,SLG1123
k141_136476:32622-32654-33024-33056,6,8,0.57,2,5,0.71,SLG1122_DASTool_bins_78,SLG659
k141_136476:32622-32654-33024-33056,0,10,1.0,0,5,1.0,SLG1122_DASTool_bins_78,SLG1122
k141_138521:1529-1544-1822-1837,0,10,1.0,0,6,1.0,SLG422_DASTool_bins_SLG422_bin.108,SLG421
k141_138521:1529-1544-1822-1837,4,10,0.71,1,4,0.8,SLG422_DASTool_bins_SLG422_bin.108,SLG1208
k141_138521:1529-1544-1822-1837,0,8,1.0,0,6,1.0,SLG422_DASTool_bins_SLG422_bin.108,SLG1105
k141_138521:1529-1544-1822-1837,2,12,0.86,1,10,0.91,SLG422_DASTool_bins_SLG422_bin.108,SLG1008
k141_138521:1529-1544-1822-1837,12,8,0.4,10,6,0.38,SLG422_DASTool_bins_SLG422_bin.108,SLG529
k141_138521:1529-1544-1822-1837,2,8,0.8,0,6,1.0,SLG422_DASTool_bins_SLG422_bin.108,SLG219
k141_138521:1529-1544-1822-1837,0,8,1.0,0,5,1.0,SLG422_DASTool_bins_SLG422_bin.108,SLG423
k141_139222:2174-2190-2398-2414,4,14,0.78,2,7,0.78,SLG991_DASTool_bins_60,SLG939
k141_139222:2174-2190-2398-2414,6,14,0.7,4,8,0.67,SLG991_DASTool_bins_60,SLG938
k141_139222:2174-2190-2398-2414,0,14,1.0,0,10,1.0,SLG991_DASTool_bins_60,SLG937
k141_139222:2174-2190-2398-2414,2,6,0.75,2,6,0.75,SLG991_DASTool_bins_60,SLG1171
k141_139222:2174-2190-2398-2414,0,6,1.0,0,5,1.0,SLG991_DASTool_bins_60,SLG620
k141_139222:2174-2190-2398-2414,16,12,0.43,10,7,0.41,SLG991_DASTool_bins_60,SLG424
k141_139222:2174-2190-2398-2414,0,6,1.0,0,4,1.0,SLG991_DASTool_bins_60,SLG1206
k141_139222:2174-2190-2398-2414,4,10,0.71,4,5,0.56,SLG991_DASTool_bins_60,SLG192
k141_139222:2174-2190-2398-2414,0,14,1.0,0,8,1.0,SLG991_DASTool_bins_60,SLG886
k141_139427:64202-64229-64341-64368,6,10,0.62,1,4,0.8,SLG529_DASTool_bins_SLG529_bin.52_sub,SLG421
k141_139427:64202-64229-64341-64368,0,18,1.0,0,9,1.0,SLG529_DASTool_bins_SLG529_bin.52_sub,SLG1008
k141_140317:89854-89880-90000-90026,32,14,0.3,22,7,0.24,SLG656_DASTool_bins_122,SLG1010
k141_140794:149054-149071-149239-149256,80,46,0.37,45,30,0.4,SLG1207_DASTool_bins_18,SLG442
k141_140794:149054-149071-149239-149256,12,12,0.5,6,8,0.57,SLG1207_DASTool_bins_18,SLG423
k141_140794:149054-149071-149239-149256,14,68,0.83,11,44,0.8,SLG1207_DASTool_bins_18,SLG1133
k141_140794:149054-149071-149239-149256,74,66,0.47,38,40,0.51,SLG1207_DASTool_bins_18,SLG191
k141_140794:149054-149071-149239-149256,38,20,0.34,24,13,0.35,SLG1207_DASTool_bins_18,SLG328B
k141_140794:149054-149071-149239-149256,0,12,1.0,0,8,1.0,SLG1207_DASTool_bins_18,SLG1155.554
k141_140794:149054-149071-149239-149256,12,22,0.65,6,11,0.65,SLG1207_DASTool_bins_18,SLG1172
k141_140794:149054-149071-149239-149256,70,22,0.24,50,16,0.24,SLG1207_DASTool_bins_18,SLG441
k141_140794:149054-149071-149239-149256,30,18,0.38,17,13,0.43,SLG1207_DASTool_bins_18,SLG220
k141_140794:149054-149071-149239-149256,54,46,0.46,34,31,0.48,SLG1207_DASTool_bins_18,SLG709
k141_140794:149054-149071-149239-149256,0,24,1.0,0,14,1.0,SLG1207_DASTool_bins_18,SLG657
k141_140794:149054-149071-149239-149256,44,70,0.61,28,40,0.59,SLG1207_DASTool_bins_18,SLG937
k141_140794:149054-149071-149239-149256,24,68,0.74,10,37,0.79,SLG1207_DASTool_bins_18,SLG659
k141_140794:149054-149071-149239-149256,42,38,0.48,22,21,0.49,SLG1207_DASTool_bins_18,SLG942
k141_140794:149054-149071-149239-149256,34,64,0.65,21,38,0.64,SLG1207_DASTool_bins_18,SLG944
k141_140794:149054-149071-149239-149256,62,76,0.55,38,45,0.54,SLG1207_DASTool_bins_18,SLG710
k141_140794:149054-149071-149239-149256,110,32,0.23,65,21,0.24,SLG1207_DASTool_bins_18,SLG1156
k141_140794:149054-149071-149239-149256,94,38,0.29,61,19,0.24,SLG1207_DASTool_bins_18,SLG193
k141_140794:149054-149071-149239-149256,50,6,0.11,34,4,0.11,SLG1207_DASTool_bins_18,SLG596
k141_140794:149054-149071-149239-149256,44,36,0.45,29,20,0.41,SLG1207_DASTool_bins_18,SLG595
k141_140794:149054-149071-149239-149256,30,28,0.48,23,18,0.44,SLG1207_DASTool_bins_18,SLG194
k141_140794:149054-149071-149239-149256,24,8,0.25,15,4,0.21,SLG1207_DASTool_bins_18,SLG1007
k141_140794:149054-149071-149239-149256,50,20,0.29,27,10,0.27,SLG1207_DASTool_bins_18,SLG654
k141_140794:149054-149071-149239-149256,102,40,0.28,57,27,0.32,SLG1207_DASTool_bins_18,SLG887
k141_140794:149054-149071-149239-149256,10,28,0.74,7,18,0.72,SLG1207_DASTool_bins_18,SLG219
k141_140794:149054-149071-149239-149256,114,124,0.52,73,75,0.51,SLG1207_DASTool_bins_18,SLG594
k141_140794:149054-149071-149239-149256,10,8,0.44,8,5,0.38,SLG1207_DASTool_bins_18,SLG221
k141_140794:149054-149071-149239-149256,68,40,0.37,46,23,0.33,SLG1207_DASTool_bins_18,SLG593
k141_140794:149054-149071-149239-149256,44,56,0.56,29,32,0.52,SLG1207_DASTool_bins_18,SLG222
k141_140794:149054-149071-149239-149256,20,12,0.38,10,6,0.38,SLG1207_DASTool_bins_18,SLG653
k141_140794:149054-149071-149239-149256,86,44,0.34,59,28,0.32,SLG1207_DASTool_bins_18,SLG326B
k141_140794:149054-149071-149239-149256,36,10,0.22,17,4,0.19,SLG1207_DASTool_bins_18,SLG1157
k141_140794:149054-149071-149239-149256,66,32,0.33,33,23,0.41,SLG1207_DASTool_bins_18,SLG422
k141_140794:149054-149071-149239-149256,26,8,0.24,15,4,0.21,SLG1207_DASTool_bins_18,SLG421
k141_140794:149054-149071-149239-149256,20,32,0.62,11,21,0.66,SLG1207_DASTool_bins_18,SLG424
k141_140794:149054-149071-149239-149256,64,18,0.22,40,9,0.18,SLG1207_DASTool_bins_18,SLG1104
k141_140794:149054-149071-149239-149256,38,46,0.55,21,30,0.59,SLG1207_DASTool_bins_18,SLG443
k141_140794:149054-149071-149239-149256,74,38,0.34,45,22,0.33,SLG1207_DASTool_bins_18,SLG1121
k141_140794:149054-149071-149239-149256,22,20,0.48,13,10,0.43,SLG1207_DASTool_bins_18,SLG777
k141_140794:149054-149071-149239-149256,76,36,0.32,44,21,0.32,SLG1207_DASTool_bins_18,SLG1214
k141_140794:149054-149071-149239-149256,62,18,0.22,40,11,0.22,SLG1207_DASTool_bins_18,SLG660
k141_140794:149054-149071-149239-149256,16,14,0.47,8,6,0.43,SLG1207_DASTool_bins_18,SLG655
k141_140794:149054-149071-149239-149256,72,58,0.45,46,38,0.45,SLG1207_DASTool_bins_18,SLG888
k141_140794:149054-149071-149239-149256,22,22,0.5,16,12,0.43,SLG1207_DASTool_bins_18,SLG1206
k141_140794:149054-149071-149239-149256,16,76,0.83,10,45,0.82,SLG1207_DASTool_bins_18,SLG939
k141_140794:149054-149071-149239-149256,2,16,0.89,2,10,0.83,SLG1207_DASTool_bins_18,SLG778
k141_140794:149054-149071-149239-149256,16,36,0.69,8,24,0.75,SLG1207_DASTool_bins_18,SLG938
k141_140794:149054-149071-149239-149256,46,54,0.54,26,28,0.52,SLG1207_DASTool_bins_18,SLG1208
k141_140794:149054-149071-149239-149256,74,36,0.33,43,23,0.35,SLG1207_DASTool_bins_18,SLG886
k141_140794:149054-149071-149239-149256,40,20,0.33,23,11,0.32,SLG1207_DASTool_bins_18,SLG776
