ID,Pe_F,Pe_R,Pe_ratio,Span_F,Span_R,Span_ratio,SRR_ID
c_000000000012:66623-66638-66956-66971,38,6,0.14,19,5,0.21,SRR19415690
c_000000000012:66623-66638-66956-66971,6,6,0.5,3,5,0.62,SRR19415682
c_000000000012:66623-66638-66956-66971,14,10,0.42,10,7,0.41,SRR19415686
c_000000000012:66623-66638-66956-66971,112,12,0.1,80,7,0.08,SRR19415683
c_000000000013:13966-13987-14330-14351,8,48,0.86,5,31,0.86,SRR19415688
c_000000000013:13966-13987-14330-14351,154,90,0.37,104,61,0.37,SRR19415690
c_000000000013:13966-13987-14330-14351,6,12,0.67,4,10,0.71,SRR19415683
k141_1002787:13828-13844-14054-14070,18,6,0.25,17,5,0.23,SRR19415682
k141_100697:6743-6773-6828-6858,0,56,1.0,0,35,1.0,SRR19415657
k141_1014228:100812-100838-101077-101103,38,8,0.17,24,5,0.17,SRR19415682
k141_1020793:1377-1395-1521-1539,58,16,0.22,44,10,0.19,SRR19415686
k141_1021954:18919-18942-19142-19165,846,218,0.2,568,125,0.18,SRR19415682
k141_1021954:18919-18942-19142-19165,24,22,0.48,18,19,0.51,SRR19415686
k141_1050368:112296-112317-112471-112492,40,36,0.47,25,32,0.56,SRR19415682
k141_1050368:112296-112317-112471-112492,4,18,0.82,2,11,0.85,SRR19415686
k141_1114891:23520-23540-23666-23686,0,10,1.0,0,10,1.0,SRR19415686
k141_1124493:7096-7112-7266-7282,24,10,0.29,19,8,0.3,SRR19415682
k141_1128020:1244-1262-1403-1421,16,32,0.67,11,25,0.69,SRR19415682
k141_1128020:1244-1262-1403-1421,10,10,0.5,7,7,0.5,SRR19415686
k141_1130707:1146-1172-1309-1335,1020,12,0.01,655,7,0.01,SRR19415682
k141_114028:258-292-348-382,0,18,1.0,0,16,1.0,SRR19415657
k141_115118:113-141-294-322,54,8,0.13,37,4,0.1,SRR19415683
k141_117111:34102-34129-34303-34330,130,12,0.08,90,7,0.07,SRR19415683
k141_1179264:14414-14442-14851-14879,20,6,0.23,9,4,0.31,SRR19415688
k141_1179264:14414-14442-14851-14879,4,6,0.6,3,4,0.57,SRR19415682
k141_1182238:30480-30510-30656-30686,12,8,0.4,7,7,0.5,SRR19415682
k141_118403:47359-47376-47928-47945,0,6,1.0,0,4,1.0,SRR19415688
k141_1195528:124208-124231-124403-124426,22,16,0.42,18,13,0.42,SRR19415682
k141_123505:138016-138042-138171-138197,14,6,0.3,9,4,0.31,SRR19415682
k141_124738:196076-196091-196262-196277,8,10,0.56,7,7,0.5,SRR19415686
k141_124738:196076-196091-196262-196277,680,38,0.05,484,24,0.05,SRR19415682
k141_124738:196076-196091-196262-196277,2,14,0.88,0,10,1.0,SRR19415688
k141_1258853:5896-5913-6114-6131,752,222,0.23,550,155,0.22,SRR19415682
k141_12696:34693-34713-35417-35437,84,34,0.29,51,23,0.31,SRR19415682
k141_1315669:3890-3914-4251-4275,4,16,0.8,4,11,0.73,SRR19415682
k141_1325868:21076-21099-21379-21402,108,6,0.05,86,4,0.04,SRR19415682
k141_1355338:31376-31389-31494-31507,0,8,1.0,0,5,1.0,SRR19415686
k141_1355338:31376-31389-31494-31507,0,6,1.0,0,5,1.0,SRR19415690
k141_1355338:31376-31389-31494-31507,0,42,1.0,0,40,1.0,SRR19415688
k141_1355338:31376-31389-31494-31507,0,32,1.0,0,27,1.0,SRR19415657
k141_1355338:31376-31389-31494-31507,740,8,0.01,645,6,0.01,SRR19415682
k141_1366747:1268-1310-1434-1476,32,14,0.3,14,5,0.26,SRR19415682
k141_145221:24830-24855-25021-25046,52,68,0.57,34,50,0.6,SRR19415682
k141_1454155:23670-23698-23856-23884,126,44,0.26,75,37,0.33,SRR19415682
k141_1454155:23670-23698-23856-23884,0,22,1.0,0,13,1.0,SRR19415686
k141_1454418:980-1007-1154-1181,152,28,0.16,102,21,0.17,SRR19415682
k141_147480:28154-28179-28345-28370,134,32,0.19,96,28,0.23,SRR19415682
k141_1514264:39167-39182-39350-39365,42,12,0.22,30,7,0.19,SRR19415682
k141_1576960:30135-30158-30408-30431,84,10,0.11,60,7,0.1,SRR19415682
k141_1578242:6448-6472-6669-6693,98,22,0.18,72,12,0.14,SRR19415682
k141_1581838:43802-43822-44368-44388,846,20,0.02,591,15,0.02,SRR19415682
k141_1581838:43802-43822-44368-44388,2,6,0.75,1,4,0.8,SRR19415686
k141_1581838:43802-43822-44368-44388,0,96,1.0,0,69,1.0,SRR19415683
k141_1581838:43802-43822-44368-44388,20,8,0.29,14,5,0.26,SRR19415657
k141_1670522:75052-75067-75786-75801,10,20,0.67,6,16,0.73,SRR19415682
k141_1670522:77338-77356-78068-78086,30,6,0.17,22,5,0.19,SRR19415682
k141_1694379:2252-2277-2513-2538,10,12,0.55,7,6,0.46,SRR19415682
k141_1694379:2252-2277-2513-2538,0,48,1.0,0,34,1.0,SRR19415683
k141_1708023:9022-9049-9175-9202,14,8,0.36,4,7,0.64,SRR19415682
k141_1719669:42744-42757-43479-43492,2,14,0.88,7,13,0.65,SRR19415682
k141_172146:10500-10520-11049-11069,122,26,0.18,88,15,0.15,SRR19415690
k141_1751368:82869-82895-83125-83151,30,18,0.38,16,8,0.33,SRR19415682
k141_176280:3130-3149-3359-3378,10,8,0.44,5,4,0.44,SRR19415690
k141_189110:211-235-432-456,826,134,0.14,537,77,0.13,SRR19415682
k141_193280:12411-12514-12576-12679,0,14,1.0,0,4,1.0,SRR19415657
k141_197007:113-141-294-322,46,38,0.45,28,31,0.53,SRR19415683
k141_197007:113-141-294-322,10,26,0.72,5,21,0.81,SRR19415687
k141_211534:21236-21255-21427-21446,54,36,0.4,37,29,0.44,SRR19415683
k141_212863:998-1018-1174-1194,0,8,1.0,0,4,1.0,SRR19415688
k141_212863:998-1018-1174-1194,0,10,1.0,0,6,1.0,SRR19415683
k141_215621:43753-43775-43893-43915,0,26,1.0,0,20,1.0,SRR19415657
k141_215621:43753-43775-43893-43915,0,16,1.0,0,11,1.0,SRR19415687
k141_215621:43753-43775-43893-43915,0,92,1.0,0,64,1.0,SRR19415686
k141_22855:52018-52037-52097-52116,0,10,1.0,0,5,1.0,SRR19415682
k141_230416:11744-11760-11917-11933,0,16,1.0,0,9,1.0,SRR19415686
k141_230416:11744-11760-11917-11933,0,8,1.0,0,5,1.0,SRR19415683
k141_230416:11744-11760-11917-11933,0,12,1.0,0,7,1.0,SRR19415688
k141_230827:43225-43244-43880-43899,6,22,0.79,6,20,0.77,SRR19415682
k141_232144:3137-3154-3250-3267,12,14,0.54,11,9,0.45,SRR19415683
k141_24417:16441-16461-17061-17081,50,8,0.14,38,4,0.1,SRR19415690
k141_250496:0-47-178-225,0,14,1.0,0,7,1.0,SRR19415683
k141_250791:2431-2461-2588-2618,22,8,0.27,13,6,0.32,SRR19415682
k141_251851:108685-108710-108881-108906,648,38,0.06,421,31,0.07,SRR19415682
k141_251851:108685-108710-108881-108906,2,6,0.75,2,4,0.67,SRR19415657
k141_251851:238272-238298-238565-238591,2,8,0.8,0,5,1.0,SRR19415657
k141_251851:238272-238298-238565-238591,604,234,0.28,404,183,0.31,SRR19415682
k141_251851:238272-238298-238565-238591,26,6,0.19,16,6,0.27,SRR19415686
k141_253421:7629-7651-7953-7975,2,10,0.83,1,5,0.83,SRR19415683
k141_253421:7629-7651-7953-7975,8,30,0.79,4,16,0.8,SRR19415688
k141_261625:3896-3926-4077-4107,596,270,0.31,370,181,0.33,SRR19415682
k141_266284:31126-31147-31319-31340,62,22,0.26,43,14,0.25,SRR19415686
k141_272526:10379-10401-10528-10550,12,6,0.33,5,4,0.44,SRR19415687
k141_272526:10379-10401-10528-10550,26,34,0.57,15,21,0.58,SRR19415657
k141_272526:10379-10401-10528-10550,40,18,0.31,30,13,0.3,SRR19415683
k141_278346:452-463-1187-1198,2,6,0.75,1,6,0.86,SRR19415686
k141_288747:33547-33567-33726-33746,118,8,0.06,86,6,0.07,SRR19415682
k141_324495:14015-14032-14118-14135,46,12,0.21,40,10,0.2,SRR19415657
k141_333920:3405-3423-4102-4120,124,12,0.09,92,8,0.08,SRR19415688
k141_342024:12138-12168-12299-12329,26,12,0.32,15,7,0.32,SRR19415682
k141_345627:22831-22855-23006-23030,204,10,0.05,134,10,0.07,SRR19415682
k141_352199:14258-14287-14418-14447,10,14,0.58,6,9,0.6,SRR19415682
k141_372020:7510-7562-8114-8166,0,18,1.0,0,15,1.0,SRR19415676
k141_380017:0-14-171-185,114,8,0.07,80,4,0.05,SRR19415657
k141_408577:23450-23468-23701-23719,14,28,0.67,11,18,0.62,SRR19415657
k141_422889:2434-2465-2643-2674,0,6,1.0,0,6,1.0,SRR19415687
k141_432910:27265-27282-27950-27967,4,6,0.6,3,4,0.57,SRR19415682
k141_444252:12859-12883-13047-13071,34,12,0.26,21,10,0.32,SRR19415682
k141_459174:33119-33138-33842-33861,58,26,0.31,45,20,0.31,SRR19415682
k141_462365:3331-3357-3588-3614,50,10,0.17,31,10,0.24,SRR19415682
k141_482712:74-101-315-342,0,8,1.0,0,7,1.0,SRR19415659
k141_496900:13771-13799-14146-14174,12,16,0.57,5,8,0.62,SRR19415682
k141_500769:16245-16266-16460-16481,14,22,0.61,11,18,0.62,SRR19415683
k141_500769:16245-16266-16460-16481,0,8,1.0,0,6,1.0,SRR19415682
k141_500769:16245-16266-16460-16481,0,6,1.0,0,4,1.0,SRR19415657
k141_508260:1667-1690-1815-1838,30,14,0.32,21,10,0.32,SRR19415682
k141_515624:31195-31227-31289-31321,0,144,1.0,0,104,1.0,SRR19415659
k141_515624:31195-31227-31289-31321,0,16,1.0,0,10,1.0,SRR19415678
k141_515624:31195-31227-31289-31321,0,8,1.0,0,8,1.0,SRR19415686
k141_515624:31195-31227-31289-31321,22,14,0.39,12,8,0.4,SRR19415682
k141_525985:23767-23785-24061-24079,0,22,1.0,0,18,1.0,SRR19415687
k141_532582:11588-11611-11745-11768,14,8,0.36,8,5,0.38,SRR19415686
k141_533198:18607-18623-18767-18783,34,54,0.61,24,29,0.55,SRR19415683
k141_533198:18607-18623-18767-18783,8,56,0.88,7,37,0.84,SRR19415686
k141_542111:24445-24458-24632-24645,14,20,0.59,9,11,0.55,SRR19415682
k141_558930:14516-14551-14667-14702,6,6,0.5,5,5,0.5,SRR19415683
k141_5613:11005-11029-11370-11394,0,10,1.0,0,10,1.0,SRR19415688
k141_568826:34750-34781-34932-34963,290,20,0.06,156,12,0.07,SRR19415682
k141_573758:19-43-191-215,226,32,0.12,144,14,0.09,SRR19415682
k141_577706:22262-22280-22535-22553,40,22,0.35,32,17,0.35,SRR19415682
k141_650054:18599-18625-18898-18924,2,8,0.8,2,4,0.67,SRR19415688
k141_663209:91709-91730-91967-91988,0,6,1.0,0,6,1.0,SRR19415672
k141_675782:1752-1785-1916-1949,8,18,0.69,8,12,0.6,SRR19415682
k141_68376:7786-7802-8011-8027,48,8,0.14,38,4,0.1,SRR19415682
k141_688925:1755-1773-2070-2088,46,6,0.12,30,6,0.17,SRR19415682
k141_703910:23322-23344-23565-23587,128,8,0.06,83,4,0.05,SRR19415682
k141_7095:13515-13543-13668-13696,16,8,0.33,10,4,0.29,SRR19415682
k141_717247:1141-1157-1314-1330,18,8,0.31,15,5,0.25,SRR19415686
k141_75669:91372-91389-91510-91527,74,18,0.2,59,12,0.17,SRR19415682
k141_77296:1890-1902-2550-2562,32,6,0.16,21,6,0.22,SRR19415686
k141_78066:16968-17004-17346-17382,130,10,0.07,86,6,0.07,SRR19415683
k141_786833:11167-11189-11403-11425,72,28,0.28,53,16,0.23,SRR19415682
k141_786833:11167-11189-11403-11425,2,16,0.89,1,13,0.93,SRR19415686
k141_804573:2675-2695-2823-2843,12,14,0.54,9,9,0.5,SRR19415686
k141_81890:3893-3911-4041-4059,0,8,1.0,0,5,1.0,SRR19415686
k141_82160:11693-11710-11876-11893,8,22,0.73,7,17,0.71,SRR19415688
k141_832742:22415-22445-22626-22656,94,20,0.18,57,15,0.21,SRR19415682
k141_85692:50361-50374-51051-51064,34,10,0.23,23,7,0.23,SRR19415686
k141_85692:53518-53532-54234-54248,28,6,0.18,18,4,0.18,SRR19415686
k141_872820:42600-42620-42696-42716,344,80,0.19,288,68,0.19,SRR19415682
k141_8898:34538-34558-34714-34734,0,28,1.0,0,16,1.0,SRR19415686
k141_8898:34538-34558-34714-34734,152,6,0.04,108,6,0.05,SRR19415657
k141_908199:36645-36665-36790-36810,12,22,0.65,9,20,0.69,SRR19415686
k141_917283:529-549-671-691,32,6,0.16,22,6,0.21,SRR19415686
k141_929082:61529-61547-61838-61856,28,6,0.18,22,6,0.21,SRR19415682
k141_93852:11785-11803-11923-11941,20,18,0.47,16,11,0.41,SRR19415686
k141_97785:46548-46576-46728-46756,178,6,0.03,128,6,0.04,SRR19415683
