MAG_ID	Species
MGYG000000118	NSJ-38 sp902363445
MGYG000000119	Blautia sp000432195
MGYG000000120	Peptoniphilus_A harei_A
MGYG000000121	Eubacterium callanderi
MGYG000000122	Staphylococcus epidermidis
MGYG000000123	Blautia sp001304935
MGYG000000124	Citrobacter youngae
MGYG000000125	Clostridium_B tyrobutyricum
MGYG000000126	BX12 sp902363595
MGYG000000127	Catenibacillus sp902363555
MGYG000000128	Alistipes sp902363575
MGYG000000129	Marseille-P4683 sp900232885
MGYG000000130	Peptoniphilus_C sp902363535
MGYG000000131	Anaerotruncus rubiinfantis
MGYG000000132	Beduini sp902363625
MGYG000000133	Blautia_A caecimuris
MGYG000000134	Longibaculum muris
MGYG000000135	Murimonas intestini
MGYG000000136	Agathobacter sp000434275
MGYG000000137	UBA7160 sp902363665
MGYG000000138	Parabacteroides johnsonii
MGYG000000139	Eubacterium_G sp000434315
MGYG000000140	UMGS1375 sp900066615
MGYG000000141	UBA7182 sp003480725
MGYG000000142	Blautia_A massiliensis
MGYG000000143	Turicibacter sanguinis
MGYG000000144	Barnesiella intestinihominis
MGYG000000145	Lacrimispora sp902363735
MGYG000000146	Dorea formicigenerans
MGYG000000147	Bacillus paralicheniformis
MGYG000000148	Faecalimonas phoceensis
MGYG000000149	Clostridium saudiense
MGYG000000150	Hungatella sp005845265
MGYG000000151	Clostridium paraputrificum
MGYG000000152	Lacrimispora sp902363835
MGYG000000153	CAG-45 sp000438375
MGYG000000154	RUG115 sp900066395
MGYG000000155	Weissella confusa
MGYG000000156	Collinsella sp002232035
MGYG000000157	Paraclostridium sordellii
MGYG000000158	Collinsella sp003436275
MGYG000000159	Sellimonas intestinalis
MGYG000000160	Collinsella sp003479805
MGYG000000161	Lactobacillus amylovorus
MGYG000000162	Enterococcus_B durans
MGYG000000163	Enterococcus_C asini
MGYG000000164	Mediterraneibacter_A butyricigenes
MGYG000000165	Extibacter muris
MGYG000000166	Limosilactobacillus fermentum
MGYG000000167	Collinsella sp002232035
MGYG000000168	Butyricimonas sp003479425
MGYG000000169	Eubacterium_G sp000432355
MGYG000000170	Alistipes_A sp900240235
MGYG000000171	Blautia_A sp900120195
MGYG000000172	Enterocloster lavalensis
MGYG000000173	Bulleidia moorei
MGYG000000174	Parabacteroides faecis
MGYG000000175	Muricomes sp000509105
MGYG000000176	Muricomes oroticus
MGYG000000177	Anaerotignum faecicola
MGYG000000178	Lawsonibacter sp003478995
MGYG000000179	Enterocloster aldenensis
MGYG000000180	Collinsella sp003459505
MGYG000000181	UBA9414 sp003458885
MGYG000000182	Mitsuokella sp003458855
MGYG000000183	Butyricimonas paravirosa
MGYG000000184	Blautia_A luti
MGYG000000185	Agathobaculum butyriciproducens
MGYG000000186	Holdemanella sp003458715
MGYG000000187	Lachnospira sp003537285
MGYG000000188	Collinsella sp003462685
MGYG000000189	Coprococcus sp900066115
MGYG000000190	CAG-127 sp900319515
MGYG000000191	Weizmannia coagulans
MGYG000000192	Holdemania filiformis
MGYG000000193	KLE1615 sp900066985
MGYG000000194	UBA9502 sp003478505
MGYG000000195	Faecalibacterium prausnitzii_E
MGYG000000196	Bacteroides thetaiotaomicron
MGYG000000197	Collinsella sp003458415
MGYG000000198	Enterocloster citroniae
MGYG000000199	Streptococcus parasanguinis_B
MGYG000000200	Blautia_A sp003471165
MGYG000000201	Blautia_A sp900066145
MGYG000000202	AF33-28 sp003477885
MGYG000000203	Butyricimonas virosa
MGYG000000204	Eubacterium_G sp000435815
MGYG000000205	CAG-81 sp900066535
MGYG000000206	Lachnoclostridium_B sp900066555
MGYG000000207	Collinsella sp002232035
MGYG000000208	Eubacterium_G ventriosum
MGYG000000209	Eubacterium_F sp003491505
MGYG000000211	Bacteroides sp900556215
MGYG000000212	Blautia_A obeum
MGYG000000213	Blautia_A sp003477525
MGYG000000214	Veillonella dispar_A
MGYG000000215	Prevotella stercorea
MGYG000000216	Blautia_A sp003474435
MGYG000000217	Acetatifactor sp900066565
MGYG000000218	Acidaminococcus provencensis
MGYG000000219	Eubacterium maltosivorans
MGYG000000220	AM07-15 sp003477405
MGYG000000221	Parabacteroides bouchesdurhonensis
MGYG000000222	Parabacteroides sp003473295
MGYG000000223	NSJ-61 sp003433845
MGYG000000224	Bacteroides sp003545565
MGYG000000225	Duodenibacillus sp003472385
MGYG000000226	Lactococcus lactis
MGYG000000227	Bacillus sonorensis
MGYG000000228	Collinsella sp900544115
MGYG000000229	CAG-317 sp000433215
MGYG000000230	Lactococcus petauri
MGYG000000231	Coprococcus eutactus_A
MGYG000000232	Collinsella sp902364645
MGYG000000233	CAG-81 sp900066785
MGYG000000234	Vagococcus teuberi
MGYG000000235	Enterobacter kobei
MGYG000000236	Bacteroides fragilis_A
MGYG000000237	Collinsella sp003470665
MGYG000000238	Enterococcus_D casseliflavus
MGYG000000239	Collinsella sp003471585
MGYG000000240	Amedibacterium intestinale
MGYG000000241	Desulfovibrio legallii
MGYG000000242	Enterocloster sp000431375
MGYG000000243	Phocaeicola massiliensis
MGYG000000244	Catenibacterium sp000437715
MGYG000000245	Roseburia sp003470905
MGYG000000246	Streptococcus pasteurianus
MGYG000000247	Collinsella intestinalis
MGYG000000248	Weissella cibaria
MGYG000000249	Mediterraneibacter faecis
MGYG000000250	TF01-11 sp001414325
MGYG000000251	Fusicatenibacter saccharivorans
MGYG000000252	Blautia_A obeum_B
MGYG000000253	Holdemanella sp002299315
MGYG000000254	Odoribacter splanchnicus
MGYG000000255	CAG-81 sp900066055
MGYG000000256	Olsenella_B sp000752675
MGYG000000257	Collinsella sp900540855
MGYG000000258	Ruminococcus_E bromii_B
MGYG000000259	UBA9502 sp003480315
MGYG000000260	Collinsella sp003469205
MGYG000000261	Collinsella sp003469185
MGYG000000262	Anaerobutyricum hallii
MGYG000000263	Blautia_A sp900066335
MGYG000000264	Exiguobacterium sp003467445
MGYG000000265	Bacteroides nordii
MGYG000000266	Collinsella sp003437035
MGYG000000267	Absicoccus sp000434355
MGYG000000268	Schaedlerella sp900066545
MGYG000000269	Faecalibacillus sp003480255
MGYG000000270	Collinsella sp003469205
MGYG000000271	Roseburia sp900552665
MGYG000000272	Prevotella hominis
MGYG000000273	Phocaeicola coprophilus
MGYG000000274	UBA9502 sp003506385
MGYG000000275	Collinsella sp002232035
MGYG000000276	Caecibacter sp003467125
MGYG000000277	Streptococcus mutans
MGYG000000278	UBA3402 sp003478355
MGYG000000279	Veillonella sp003463825
MGYG000000280	AM51-8 sp003478275
MGYG000000281	Lachnoclostridium_A sp003464085
MGYG000000282	TF01-11 sp003524945
MGYG000000283	Collinsella sp900755685
MGYG000000284	Parabacteroides sp900540715
MGYG000000285	UBA7185 sp900556545
MGYG000000287	Robinsoniella sp900539655
MGYG000000288	Collinsella sp900541145
MGYG000000289	Prevotella buccae
MGYG000000290	Collinsella sp900540995
MGYG000000291	CAG-1427 sp900547965
MGYG000000292	Collinsella sp900551635
MGYG000000293	Veillonella sp900556785
MGYG000000294	Phascolarctobacterium_A sp900544885
MGYG000000295	Clostridium_E sporosphaeroides
MGYG000000296	Peptostreptococcus anaerobius
MGYG000000297	UBA7057 sp900543675
MGYG000000299	Pauljensenia sp900541895
MGYG000000301	Blautia_A sp900541985
MGYG000000302	Collinsella sp900540905
MGYG000000303	Varibaculum cambriense_A
MGYG000000304	CAG-1427 sp900542525
MGYG000000305	RF16 sp900542355
MGYG000000307	Rothia mucilaginosa
MGYG000000308	Pauljensenia sp001064145
MGYG000000309	Collinsella sp900755685
MGYG000000310	Phascolarctobacterium_A sp900552855
MGYG000000311	Veillonella sp900550175
MGYG000000312	Eisenbergiella sp900539715
MGYG000000313	Collinsella vaginalis
MGYG000000314	Collinsella sp900550355
MGYG000000315	UMGS951 sp900547585
MGYG000000316	UBA945 sp900549675
MGYG000000317	Haemophilus_D parainfluenzae
MGYG000000318	Streptococcus infantis_I
MGYG000000319	Pygmaiobacter massiliensis
MGYG000000320	Collinsella sp900540945
MGYG000000321	Collinsella sp900549355
MGYG000000322	Odoribacter sp900544025
MGYG000000323	Enterococcus_D sp002850555
MGYG000000324	Collinsella sp900549245
MGYG000000326	Rothia terrae
MGYG000000327	Collinsella sp900540985
MGYG000000328	CAG-272 sp900556615
MGYG000000330	Lentilactobacillus parabuchneri
MGYG000000331	Collinsella sp900544995
MGYG000000332	CAG-605 sp000433255
MGYG000000333	Collinsella sp002232035
MGYG000000335	Enterococcus_G italicus
MGYG000000337	Morganella morganii_B
MGYG000000338	Anaerobiospirillum sp900543125
MGYG000000343	Odoribacter sp900548135
MGYG000000344	QALS01 sp900555925
MGYG000000345	UBA1829 sp002338895
MGYG000000347	Tener-01 sp001940985
MGYG000000349	CAG-1138 sp000434675
MGYG000000353	UBA7173 sp900548705
MGYG000000354	CAG-485 sp001701295
MGYG000000358	UBA1436 sp002329395
MGYG000000360	UBA1829 sp900548385
MGYG000000362	CAG-115 sp003531585
MGYG000000363	Zag1 sp001917115
MGYG000000364	Coprococcus sp900767685
MGYG000000365	CAG-269 sp900556695
MGYG000000366	UMGS882 sp900757905
MGYG000000367	QAKD01 sp003343965
MGYG000000368	F23-B02 sp004553495
MGYG000000369	CAG-170 sp003516765
MGYG000000370	CAG-170 sp900545925
MGYG000000371	CAG-390 sp003523225
MGYG000000372	CAG-273 sp003507395
MGYG000000373	UMGS1537 sp900761045
MGYG000000374	CAG-631 sp900762575
MGYG000000379	Eubacterium_R sp900539425
MGYG000000382	CAG-269 sp900554175
MGYG000000389	Roseburia sp900550935
MGYG000000391	UBA11475 sp003538975
MGYG000000392	Ruminococcus_E sp003521625
MGYG000000395	CAG-217 sp900547275
MGYG000000402	Pseudoruminococcus sp902765855
MGYG000000404	UBA11774 sp003507655
MGYG000000405	CAG-390 sp000437015
MGYG000000406	UBA10677 sp003533505
MGYG000000409	QALS01 sp003150575
MGYG000000410	Zag111 sp002102825
MGYG000000412	Succinivibrio sp000431835
MGYG000000414	Alistipes sp900546065
MGYG000000415	UBA11471 sp900547555
MGYG000000416	UMGS1865 sp900555785
MGYG000000417	Acetatifactor sp900755865
MGYG000000418	UBA1820 sp003150615
MGYG000000419	CAG-710 sp000432595
MGYG000000420	UMGS1670 sp900553995
MGYG000000424	CAG-353 sp900768995
MGYG000000427	CAG-449 sp000432895
MGYG000000429	UBA7597 sp900542935
MGYG000000430	CAG-1000 sp900761555
MGYG000000431	CAG-288 sp000437395
MGYG000000434	CAG-611 sp900552235
MGYG000000435	RUG131 sp900549975
MGYG000000436	CAG-306 sp000980375
MGYG000000437	Alistipes sp001941065
MGYG000000438	Zag1 sp000433095
MGYG000000441	CAG-312 sp900545705
MGYG000000442	CAG-462 sp003489705
MGYG000000444	Borkfalkia ceftriaxoniphila
MGYG000000446	UMGS1045 sp900547995
MGYG000000447	CAG-484 sp900554385
MGYG000000449	CAG-269 sp000438255
MGYG000000451	UBA1820 sp002314265
MGYG000000452	Barnesiella sp002159975
MGYG000000453	Eubacterium_R sp900539775
MGYG000000457	UBA737 sp900549755
MGYG000000458	CAG-314 sp900551395
MGYG000000460	CAG-475 sp900550915
MGYG000000461	UBA11517 sp900768545
MGYG000000462	UBA940 sp900768115
MGYG000000463	CAG-841 sp000437375
MGYG000000464	QHMH01 sp003258795
MGYG000000466	UMGS1668 sp900553955
MGYG000000467	CAAGED01 sp900768505
MGYG000000468	UMGS1696 sp900554225
MGYG000000470	Brachyspira pilosicoli
MGYG000000471	UBA7642 sp900770925
MGYG000000472	UMGS2069 sp900554955
MGYG000000473	UBA10281 sp900767495
MGYG000000475	Duodenibacillus sp900544335
MGYG000000476	UMGS882 sp900546385
MGYG000000477	UBA1234 sp900753135
MGYG000000478	UBA4951 sp900540385
MGYG000000479	Treponema_D sp900541995
MGYG000000480	CAG-312 sp900546565
MGYG000000482	HGM13634 sp900770385
MGYG000000483	HGM11416 sp900766495
MGYG000000484	Butyrivibrio_A sp000431815
MGYG000000485	Zag1 sp900767135
MGYG000000486	Phascolarctobacterium_A sp900770955
MGYG000000487	CAG-115 sp900768125
MGYG000000488	Anaeroplasma sp900767915
MGYG000000489	Agathobacter sp900548765
MGYG000000490	UMGS1865 sp900768535
MGYG000000491	Zag111 sp003258735
MGYG000000492	RUG410 sp900553115
MGYG000000493	UBA2883 sp002103075
MGYG000000495	HGM11501 sp900766735
MGYG000000496	CAG-1000 sp900768345
MGYG000000498	UMGS995 sp900769695
MGYG000000499	HGM11416 sp900768525
MGYG000000500	CAG-110 sp900547405
MGYG000000501	CAG-127 sp900553925
MGYG000000502	Brachyspira aalborgi
MGYG000000503	UMGS1585 sp900766355
MGYG000000504	CAG-312 sp000438015
MGYG000000506	RUG410 sp900769705
MGYG000000507	UBA2903 sp900768875
MGYG000000508	CAG-724 sp003524145
MGYG000000509	CADBRU01 sp900762815
MGYG000000510	UMGS363 sp900541495
MGYG000000511	Zag1 sp900556295
MGYG000000513	Helicobacter_B fennelliae
MGYG000000514	CAG-590 sp900769115
MGYG000000515	UBA2882 sp900549665
MGYG000000517	UMGS1889 sp900556055
MGYG000000518	UBA737 sp900547095
MGYG000000519	UBA1436 sp900541355
MGYG000000520	Firm-07 sp900548735
MGYG000000522	Methanobrevibacter_A sp900766745
MGYG000000523	UBA1221 sp900770525
MGYG000000524	UBA4636 sp900770945
MGYG000000525	Duodenibacillus sp900767875
MGYG000000526	Prevotella sp900770395
MGYG000000527	UMGS1470 sp900552105
MGYG000000528	CAAFZY01 sp900767645
MGYG000000529	UMGS1585 sp900553205
MGYG000000530	PeH17 sp000435055
MGYG000000531	Collinsella sp900768265
MGYG000000532	CAG-510 sp000434615
MGYG000000533	Phascolarctobacterium_A sp900551335
MGYG000000534	Prevotella sp900543975
MGYG000000535	Olsenella sp900538935
MGYG000000536	Cetobacterium_A sp900766645
MGYG000000537	UMGS1826 sp900555435
MGYG000000538	UBA1829 sp900549045
MGYG000000539	Oribacterium sp004554245
MGYG000000540	CAG-762 sp000432575
MGYG000000541	Bruticola sp004554425
MGYG000000542	UBA2883 sp900768915
MGYG000000543	Agathobacter sp900552085
MGYG000000544	Zag1 sp900769355
MGYG000000546	Roseburia sp003483745
MGYG000000548	Sutterella sp900770335
MGYG000000549	Zag1 sp001765415
MGYG000000550	Lawsonibacter sp900545895
MGYG000000551	Mailhella sp900553065
MGYG000000552	CAG-521 sp900554675
MGYG000000553	Prevotella sp900548535
MGYG000000554	Campylobacter fetus
MGYG000000555	Cellulosilyticum sp900556665
MGYG000000556	Collinsella sp003469205
MGYG000000558	Caecibacter hominis
MGYG000000559	Paraprevotella sp900546665
MGYG000000561	CAG-115 sp003507295
MGYG000000562	Lachnospira sp000437735
MGYG000000563	Collinsella sp900546105
MGYG000000564	Duodenibacillus sp900552915
MGYG000000565	Collinsella sp900545555
MGYG000000567	CAG-521 sp000437635
MGYG000000568	CAG-279 sp900544305
MGYG000000570	Collinsella sp003459505
MGYG000000571	Pauljensenia turicensis
MGYG000000573	Gemmiger variabilis_A
MGYG000000575	UBA11452 sp003526375
MGYG000000580	Streptococcus vestibularis
MGYG000000582	Lactococcus garvieae
MGYG000000583	Acetatifactor sp900766575
MGYG000000584	RC9 sp900544195
MGYG000000590	Rs-D84 sp900549365
MGYG000000591	Phascolarctobacterium_A succinatutens_A
MGYG000000595	UMGS1293 sp900754495
MGYG000000596	UBA1724 sp900548225
MGYG000000600	CAG-791 sp000431495
MGYG000000601	Mobilibacterium timonense
MGYG000000602	CAG-1427 sp900544455
MGYG000000603	UMGS1502 sp900552365
MGYG000000604	UBA1829 sp900549415
MGYG000000606	RC9 sp000433355
MGYG000000611	Senegalimassilia faecalis
MGYG000000614	Parolsenella massiliensis
MGYG000000615	UBA1752 sp900554405
MGYG000000618	CAG-196 sp900553895
MGYG000000619	CAG-873 sp900540625
MGYG000000620	Parolsenella uli_B
MGYG000000622	UBA636 sp900546285
MGYG000000623	Blautia_A sp900763175
MGYG000000631	Prevotella sp002299635
MGYG000000633	Victivallis sp900768515
MGYG000000636	Gemmiger sp004555405
MGYG000000638	Lachnospira sp900547255
MGYG000000639	Treponema_D sp900541945
MGYG000000644	Prevotella sp900546535
MGYG000000646	Eubacterium_R sp000436835
MGYG000000647	CAG-390 sp900753295
MGYG000000648	Collinsella aerofaciens_G
MGYG000000649	Collinsella sp900758845
MGYG000000651	CAG-170 sp002404795
MGYG000000652	Bacteroides togonis
MGYG000000653	UBA11471 sp000434215
MGYG000000654	MX-02 sp006954405
MGYG000000655	Holdemanella sp900547815
MGYG000000657	Pseudomonas_E bubulae
MGYG000000659	UBA10281 sp900556195
MGYG000000663	UMGS1668 sp900768105
MGYG000000664	UBA733 sp900550795
MGYG000000667	UBA7173 sp900546835
MGYG000000668	CAG-238 sp900551415
MGYG000000669	CAG-488 sp000434055
MGYG000000670	Faecalibacillus sp900544435
MGYG000000671	Dialister sp002320515
MGYG000000672	RC9 sp000431015
MGYG000000673	CAG-873 sp004552485
MGYG000000675	Bacteroides congonensis
MGYG000000678	CAG-485 sp002491165
MGYG000000679	UMGS1470 sp900766395
MGYG000000681	Lactococcus_A raffinolactis
MGYG000000683	CAG-977 sp000434295
MGYG000000685	CAG-590 sp900552885
MGYG000000686	UBA733 sp900767605
MGYG000000689	Angelakisella sp003453215
MGYG000000690	CAG-590 sp000431135
MGYG000000692	Prevotellamassilia sp900543155
MGYG000000695	Prevotella sp000436035
MGYG000000696	Parabacteroides sp900549585
MGYG000000700	UBA4372 sp900543815
MGYG000000701	Prevotella sp900552675
MGYG000000703	CAG-83 sp900552725
MGYG000000705	CAG-475 sp000434435
MGYG000000707	Prevotella sp900546575
MGYG000000712	Fusobacterium_B sp900541465
MGYG000000714	CAG-451 sp000438295
MGYG000000715	CAG-110 sp900544705
MGYG000000717	Duodenibacillus sp900762555
MGYG000000718	SFDB01 sp004558825
MGYG000000722	RC9 sp900545245
MGYG000000723	CAG-177 sp003514385
MGYG000000725	Dialister sp000434475
MGYG000000726	CAG-180 sp004556705
MGYG000000729	F23-B02 sp900545805
MGYG000000730	Phil1 sp001940855
MGYG000000734	UBA10281 sp900548285
MGYG000000740	CAG-312 sp001917305
MGYG000000741	CAG-170 sp900548625
MGYG000000742	Dialister sp900541605
MGYG000000743	CAG-110 sp000434635
MGYG000000744	Collinsella sp900550205
MGYG000000748	UBA10677 sp900762945
MGYG000000753	ER4 sp900768135
MGYG000000754	Streptococcus sp900555155
MGYG000000755	Campylobacter sp013416015
MGYG000000756	Bifidobacterium sp002742445
MGYG000000757	Negativicoccus massiliensis
MGYG000000758	Peptoniphilus_A harei
MGYG000000762	Corynebacterium glucuronolyticum
MGYG000000764	Porphyromonas_A sp900541275
MGYG000000765	Porphyromonas_A bennonis
MGYG000000766	Fenollaria sp900539225
MGYG000000767	Paraeggerthella hongkongensis
MGYG000000768	Collinsella sp900542905
MGYG000000769	Collinsella sp900544875
MGYG000000770	Collinsella sp900544095
MGYG000000771	Lactococcus lactis_E
MGYG000000772	Collinsella sp900541695
MGYG000000773	Bulleidia sp900539965
MGYG000000774	Enterocloster sp900543885
MGYG000000775	Bifidobacterium sp900551485
MGYG000000776	UBA5809 sp002417965
MGYG000000777	Collinsella sp900544135
MGYG000000778	Collinsella sp900541645
MGYG000000779	Prevotella sp000431975
MGYG000000780	Collinsella sp900541475
MGYG000000781	Phocaeicola sp900541515
MGYG000000782	Phascolarctobacterium_A sp900541915
MGYG000000783	Veillonella_A sp900545795
MGYG000000784	CAG-417 sp000432835
MGYG000000785	Lancefieldella sp900555335
MGYG000000786	Veillonella sp900545205
MGYG000000787	Collinsella sp002232035
MGYG000000788	Bacteroides pyogenes
MGYG000000789	Collinsella sp002232035
MGYG000000790	Fusobacterium nucleatum_E
MGYG000000791	CAG-269 sp900551615
MGYG000000792	Eubacterium_M sp900540015
MGYG000000793	Succinivibrio sp900548485
MGYG000000794	Megamonas sp900554895
MGYG000000796	Turicimonas muris
MGYG000000797	Collinsella sp900544755
MGYG000000798	Collinsella sp900542945
MGYG000000801	Collinsella sp900542325
MGYG000000802	Collinsella sp900540855
MGYG000000803	Ureaplasma sp900544585
MGYG000000805	Collinsella sp900546825
MGYG000000806	Blautia_A sp900541345
MGYG000000807	Anaerofustis sp900549875
MGYG000000808	Dysosmobacter sp900556925
MGYG000000809	UBA1691 sp900549825
MGYG000000810	Sutterella sp900543805
MGYG000000811	Collinsella sp003437035
MGYG000000812	Collinsella sp900549715
MGYG000000813	Zag1 sp000437435
MGYG000000814	CAG-521 sp900546995
MGYG000000815	Dysgonomonas capnocytophagoides
MGYG000000817	Catenibacterium sp900540665
MGYG000000820	UBA9506 sp003506415
MGYG000000822	Companilactobacillus farciminis_A
MGYG000000823	Alistipes sp900550375
MGYG000000824	CAG-485 sp900552315
MGYG000000825	Duncaniella sp900544535
MGYG000000826	Collinsella sp900550415
MGYG000000827	Collinsella sp002232035
MGYG000000829	UBA7748 sp900314535
MGYG000000830	Collinsella sp002232035
MGYG000000832	Collinsella sp002232035
MGYG000000833	Collinsella sp003436275
MGYG000000835	Collinsella sp002232035
MGYG000000836	UBA10281 sp000437515
MGYG000000837	Dysosmobacter sp900544105
MGYG000000838	Agathobaculum sp900557315
MGYG000000839	Clostridium sp900540255
MGYG000000841	Dysosmobacter sp900544615
MGYG000000842	Collinsella sp900540845
MGYG000000843	Lacticaseibacillus sp900540605
MGYG000000844	Lactobacillus apis
MGYG000000845	Collinsella sp003469205
MGYG000000846	Collinsella sp900541685
MGYG000000847	Acidaminococcus sp900538365
MGYG000000850	CAG-521 sp900544345
MGYG000000851	UBA7173 sp900552325
MGYG000000852	Prevotella sp900545525
MGYG000000853	Prevotella sp900549175
MGYG000000854	Paraprevotella sp900548345
MGYG000000855	Collinsella sp900540875
MGYG000000856	Collinsella sp003459505
MGYG000000857	CAG-269 sp900552555
MGYG000000858	Collinsella sp900542155
MGYG000000859	Faecalimonas sp900546325
MGYG000000861	Olsenella_B sp900548775
MGYG000000863	UMGS1490 sp900547395
MGYG000000864	CAG-632 sp900539185
MGYG000000865	Collinsella sp900554255
MGYG000000866	Prevotellamassilia sp900556465
MGYG000000867	UBA1409 sp002338885
MGYG000000868	Collinsella sp900544425
MGYG000000869	UBA11517 sp003522085
MGYG000000870	Akkermansia sp004167605
MGYG000000872	UBA7173 sp900540205
MGYG000000873	Porphyromonas sp900539765
MGYG000000874	CAG-267 sp900551865
MGYG000000875	CAG-1024 sp000432015
MGYG000000877	CAG-83 sp900545495
MGYG000000878	Collinsella sp900541145
MGYG000000879	Collinsella sp900541665
MGYG000000880	Collinsella sp900555355
MGYG000000881	Collinsella sp900545075
MGYG000000883	CAG-170 sp900555665
MGYG000000884	CAG-103 sp900317855
MGYG000000885	Collinsella sp900541785
MGYG000000886	UBA2882 sp900542015
MGYG000000887	CAG-914 sp000437895
MGYG000000889	CAG-279 sp900541555
MGYG000000892	CAG-115 sp002492075
MGYG000000894	UMGS1307 sp900550505
MGYG000000896	Collinsella sp900540895
