,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade
95,0.770500274,0.001,0.097,0.099,12,4,4,"('CosteaPI_2017__SID713A045_11_0_0__bin_53':0.0831422343,('BritoIL_2016__M1_24_ST__bin_93':0.0424705563,((('H04_WC32_S32__DASTool_bins_concoct_112':0.0011087038,'B05_WC34_S34__DASTool_bins_concoct_070':0.0108414076)55:0.0046229121,(('E01_WC5_S5__DASTool_bins_metabat2_230':0.000699525,'C03_WC19_S19__DASTool_bins_concoct_213':0.0013122669)99:1.0007e-06,(('D03_WC20_S20__DASTool_bins_concoct_052':0.0005158032,'WC16_19_sub':0.0104078946)100:0.0006752767,'WC3_131':0.0027265374)92:1.0007e-06)100:0.0068991584)55:0.0063270749,(('F04_WC30_S30__DASTool_bins_concoct_312':0.0005977743,'E04_WC29_S29__DASTool_bins_239':0.001218812)82:2.163e-06,'F03_WC22_S22__DASTool_bins_metabat2_234':0.0185981219)55:0.0142998537)100:0.0272383333)100:0.0665060771)100:0.0713926565;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.20978462,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__
96,0.775045205,0.002,0.244,0.248,13,4,4,"('ZellerG_2014__CCIS90164298ST_4_0__bin_93':0.1174700923,('LiJ_2014__MH0303__bin_32':0.0693816994,((('D05_WC36_S36__DASTool_bins_metabat2_191_sub':0.0004519493,'WC34_bin_52_sub':0.0510863719)100:0.0030540463,'A05_WC33_S33__DASTool_bins_metabat2_028':0.0057779925)100:0.0224560278,(((('D04_WC28_S28__DASTool_bins_concoct_088':0.001331624,('D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_28':0.0004998303,'WC9_bin_134':0.0320325765)25:0.0004957344)25:0.0048775182,'D01_WC4_S4__DASTool_bins_metabat2_023':0.0043056484)25:2.9399e-06,(('C03_WC19_S19__DASTool_bins_metabat2_117':0.0030761132,'B01_WC2_S2__DASTool_bins_metabat2_057_sub':0.0005862205)25:0.0004268785,'A01_WC1_S1__DASTool_bins_metabat2_058_sub':0.0013928522)25:0.0003013376)100:0.0078519279,'C04_WC27_S27__DASTool_bins_metabat2_227_sub':0.0092231047)100:0.0175809901)100:0.0682260395)100:0.0419468657)100:0.0966110121;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.304239444,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CAG-536;s__
97,0.775615614,0.011,0.251,0.248,12,4,4,"('Bengtsson_PalmeJ_2015__TRAVELRES63__bin_96':0.0332045453,((((('H04_WC32_S32__DASTool_bins_metabat2_186':0.0004701892,'G04_WC31_S31__DASTool_bins_concoct_066':0.009150048)100:0.002322453,(('E01_WC5_S5__DASTool_bins_metabat2_052':0.0038880687,'WC9_119':0.0004934548)87:0.0004564358,('D04_WC28_S28__DASTool_bins_concoct_071':1.0008e-06,('D01_WC4_S4__DASTool_bins_maxbin2_117':2.0584e-06,('WC6_WC6_054_sub':0.02772615,'WC3_24':1.0008e-06)100:0.0014436423)87:0.0002285402)87:2.346e-06)100:0.0027382685)100:0.0002207665,'B05_WC34_S34__DASTool_bins_metabat2_027':0.0006755026)100:0.0061305185,'D05_WC36_S36__DASTool_bins_concoct_183_sub':0.0003415112)100:0.0003271727,'C05_WC35_S35__DASTool_bins_concoct_098':0.0006975574)100:0.0229199516)100:0.0266214574;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.094941902,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__
98,0.777652792,0.002,0.202,0.225,12,4,5,"((((('Lib4_2_bin_21_filtered':0.0019411923,'Lib4_8_bin_57_filtered':0.0004955941)100:0.0045963967,'CosteaPI_2017__SID713B051_11_0_0__bin_78':0.0031141566)100:0.0022124084,('F02_WC14_S14__DASTool_bins_concoct_198':0.0121848117,(('D03_WC20_S20__DASTool_bins_concoct_276':0.0009387139,'WC17_86':0.005884553)99:0.0028838885,'B04_WC26_S26__DASTool_bins_metabat2_320':0.0084216844)99:0.0007104661)100:0.0009249233)100:0.0081822508,'LiuW_2016__SRR3992961__bin_7':0.0369972615)100:0.0207746277,('HicksAL_2018__WDG_0040__bin_11':0.0012451609,(('HicksAL_2018__WDG_0033__bin_8':0.0012651441,'HicksAL_2018__WDG_0140__bin_15':0.0021594995)56:0.0005253765,'HicksAL_2018__WDG_0145__bin_15':0.001535359)56:0.0004485766)100:0.0511752859)100:0.0471339404;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.112080628,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__;s__
99,0.777851851,0.001,0.095,0.09,18,4,5,"('HicksAL_2018__WDG_0065__bin_18':0.0384458446,((((('H04_WC32_S32__DASTool_bins_metabat2_206_sub':0.0066098712,'G04_WC31_S31__DASTool_bins_concoct_062':1.0008e-06)100:0.001248162,'A05_WC33_S33__DASTool_bins_concoct_002':0.0020128736)100:0.0051847287,('D05_WC36_S36__DASTool_bins_concoct_003':0.0011903439,'C05_WC35_S35__DASTool_bins_metabat2_277':1.0008e-06)100:0.0080969718)100:0.0022409541,('D04_WC28_S28__DASTool_bins_concoct_040_sub':0.0002298174,((('D03_WC20_S20__DASTool_bins_concoct_240_sub':0.0020281648,'C03_WC19_S19__DASTool_bins_concoct_096':0.0038112688)100:0.0016411066,'WC8_WC8_025':0.0016511196)100:0.0014400569,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_12':0.0002674988)93:1.0007e-06)100:0.004341993)100:0.0258435971,(((('H03_WC24_S24__DASTool_bins_26':1.0008e-06,'G03_WC23_S23__DASTool_bins_110':0.007554032)100:0.0006461529,('B04_WC26_S26__DASTool_bins_metabat2_562':0.0005376517,'A04_WC25_S25__DASTool_bins_maxbin2_018_sub':0.0003035399)100:0.0005174896)100:0.0006607582,'F03_WC22_S22__DASTool_bins_concoct_023':0.0011983386)100:0.0022817563,('F04_WC30_S30__DASTool_bins_concoct_090':0.0002169042,'E04_WC29_S29__DASTool_bins_107':1.0008e-06)100:0.0031095209)100:0.0316998965)100:0.024364189)100:0.0218886156;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.10565263,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
100,0.782371298,0.001,0.269,0.355,16,4,20,"(((('s02_bin_103_filtered':0.0387832568,'LeChatelierE_2013__MH0276__bin_60':0.0222658926)100:0.0431267689,('BritoIL_2016__M1_16_ST__bin_117':0.0826973974,'D03_WC20_S20__DASTool_bins_metabat2_277':0.0791513942)100:0.0278002992)100:0.0956935555,('NielsenHB_2014__V1_CD34_0__bin_3':0.0616109289,'E02_WC13_S13__DASTool_bins_concoct_068':0.0603457252)100:0.1062404989)100:0.0412859988,('NielsenHB_2014__MH0124__bin_23':0.1195215948,((('AmatoKR_2018__qiita_sid_11212_11212_AsenLink4__bin_2':0.0213657415,'AmatoKR_2018__qiita_sid_11212_11212_Asen1111__bin_2':0.0096948374)100:0.090313649,((('AmatoKR_2018__qiita_sid_11212_11212_APAL39__bin_4':0.0002429019,(('AmatoKR_2018__qiita_sid_11212_11212_APAL37__bin_10':0.0031026985,'AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_3':1.0008e-06)100:0.0016928419,'AmatoKR_2018__qiita_sid_11212_11212_APAL38__bin_2':0.0007933784)83:1.0007e-06)99:0.0025428762,'AmatoKR_2018__qiita_sid_11212_11212_Apalw13__bin_13':0.0042161028)100:0.0918193772,'AmatoKR_2018__qiita_sid_11212_11212_APAL36__bin_13':0.0973616198)100:0.0237015648)100:0.0355452478,'AmatoKR_2018__qiita_sid_11212_11212_Asen1111__bin_14':0.1300110636)100:0.0456913605)100:0.0422101301)100:0.1204672015;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.493784349,d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-314;g__CAG-1435;s__
101,0.782820472,0.006,0.25,0.276,7,4,4,"(((('WC34_88':1.0008e-06,('A05_WC33_S33__DASTool_bins_concoct_021':2.88592e-05,'WC33_29':0.0434052238)100:0.0012641147)100:0.0162812797,('E01_WC5_S5__DASTool_bins_concoct_115_sub':0.0034845994,'WC16_8':0.0221622044)100:0.0094951254)100:0.0121547538,'F04_WC30_S30__DASTool_bins_metabat2_004_sub':0.0229747743)100:0.0346170393,'FengQ_2015__SID530451__bin_4':0.0320514273)100:0.009339187;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.139773839,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
102,0.784807685,0.001,0.109,0.171,19,4,4,"('HMP_2012__SRS014923__bin_60':0.1089874239,(((((('AmatoKR_2018__qiita_sid_11212_11212_Ptr1__bin_31':0.0122482646,('E01_WC5_S5__DASTool_bins_metabat2_189_sub':0.0025114302,('WC9_bin_9':0.0004738783,'WC3_WC3_015':0.0220324511)99:0.0119461041)99:0.0078036452)73:0.0065124447,'D02_WC12_S12__DASTool_bins_36':0.001536767)73:0.0006814498,'WC5_2':0.0024682294)74:0.0013332724,'D01_WC4_S4__DASTool_bins_metabat2_195':0.0014847892)100:0.0130267051,((('G04_WC31_S31__DASTool_bins_concoct_200':0.0052987932,('B05_WC34_S34__DASTool_bins_concoct_248':0.0026222353,('A05_WC33_S33__DASTool_bins_concoct_076':0.0002046868,'WC33_102':0.0013769195)100:2.5488e-06)100:0.0039921273)100:0.0062152433,'D05_WC36_S36__DASTool_bins_concoct_062':0.0254622046)100:0.0043493566,(((('F04_WC30_S30__DASTool_bins_maxbin2_051_sub':0.0159611524,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_22':0.0017258329)98:1.0007e-06,'WC29_bin_7':1.0008e-06)100:0.0012623185,'C04_WC27_S27__DASTool_bins_concoct_166':0.0069207146)100:0.003576129,'A04_WC25_S25__DASTool_bins_metabat2_030':0.004136476)100:0.020495359)76:0.0055461983)100:0.0780122679,'B04_WC26_S26__DASTool_bins_metabat2_293_sub':0.0421888951)100:0.0598932793)100:0.0136919512;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.310229043,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__
103,0.792714332,0.001,0.441,0.308,22,4,12,"((((((('TungJ_2015__F01__bin_20':0.0009895626,('TungJ_2015__M16__bin_84':0.0011650568,'TungJ_2015__F21__bin_40':0.0004830017)89:0.0004588342)81:0.0004830341,((('TungJ_2015__F03__bin_21':0.0007042129,('TungJ_2015__F06__bin_22':0.004510779,'TungJ_2015__M06__bin_18':0.0010035715)72:0.0002613036)72:0.0002467666,'TungJ_2015__F28__bin_8':0.0010293888)89:0.0002455,('TungJ_2015__F05__bin_14':0.0014182631,'TungJ_2015__F07__bin_3':0.0008041802)100:0.0008867537)81:0.0005824225)88:0.0004515261,'TungJ_2015__F23__bin_2':0.0015027386)99:0.0005375188,(('TungJ_2015__F31__bin_1':0.0016609299,'TungJ_2015__F09__bin_1':0.0007757094)100:0.0076770746,'TungJ_2015__F29__bin_33':1.0008e-06)99:0.0004958279)100:0.0065199614,'TungJ_2015__M17__bin_6':0.0024840128)22:0.000606633,'D03_WC20_S20__DASTool_bins_concoct_217':0.0031108212)100:0.0017547886,(('H04_WC32_S32__DASTool_bins_metabat2_127':0.0073862341,'D05_WC36_S36__DASTool_bins_concoct_037_sub':0.0043795754)100:0.003081616,((('F03_WC22_S22__DASTool_bins_concoct_291':0.0007933978,'C04_WC27_S27__DASTool_bins_concoct_211':0.0042996369)100:0.000576708,('B04_WC26_S26__DASTool_bins_concoct_353_sub':0.0099053319,'A04_WC25_S25__DASTool_bins_maxbin2_087':0.0006887046)100:0.0013704081)100:0.0085139317,'D04_WC28_S28__DASTool_bins_concoct_302':0.010096904)100:0.0017215515)100:0.006864523)28:0.0021549056;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.047090962,d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__
104,0.80300658,0.002,0.405,0.381,10,4,4,"(('Lib4_8_bin_72_filtered':0.0055985784,'FengQ_2015__SID530177__bin_19':0.0017260441)100:0.0075337342,((('H04_WC32_S32__DASTool_bins_metabat2_232':0.0028299855,(('G04_WC31_S31__DASTool_bins_metabat2_108_sub':0.0047041681,'C05_WC35_S35__DASTool_bins_metabat2_073':0.0062784271)100:2.2913e-06,'D05_WC36_S36__DASTool_bins_metabat2_112':0.0005394378)100:0.0071993838)100:0.0005552285,('D04_WC28_S28__DASTool_bins_metabat2_376':0.0050707193,('B04_WC26_S26__DASTool_bins_metabat2_307':0.0062887538,'A04_WC25_S25__DASTool_bins_metabat2_203':0.003934131)100:0.0019004126)100:0.0005673081)100:0.006181989,'C03_WC19_S19__DASTool_bins_metabat2_123':0.0072511917)100:0.0060572267)100:0.0109331122;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.039406859,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium_C;s__
106,0.811139365,0.001,0.061,0.083,10,4,4,"('LiuW_2016__SRR3993002__bin_32':0.0907987641,(((('F04_WC30_S30__DASTool_bins_metabat2_079_sub':0.0047183519,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_128_sub':0.0021355995)100:0.0036098589,'C04_WC27_S27__DASTool_bins_metabat2_133':0.0043445759)100:0.0037545366,'A04_WC25_S25__DASTool_bins_metabat2_293_sub':0.0119206741)100:0.0388115261,(((('E01_WC5_S5__DASTool_bins_metabat2_225':0.0037464337,'D01_WC4_S4__DASTool_bins_metabat2_025_sub':0.0182674492)100:0.0029476439,'B01_WC2_S2__DASTool_bins_maxbin2_037_sub':0.0164400194)100:0.005482469,'D04_WC28_S28__DASTool_bins_maxbin2_141_sub':0.0492483102)100:0.0135704919,'C05_WC35_S35__DASTool_bins_concoct_089_sub':0.0167245297)100:0.0332565979)100:0.0448246581)100:0.0152847325;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.231698822,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
107,0.820982217,0.001,0.161,0.171,17,4,4,"((((('ZeeviD_2015__PNP_Main_502_megahit__bin_47':0.0158475282,'Bengtsson_PalmeJ_2015__TRAVELRES6__bin_119':0.0080779028)100:0.0754870077,'s02_bin_283_filtered':0.1248373483)100:0.0400608507,'Bengtsson_PalmeJ_2015__TRAVELRES49__bin_109':0.1207963096)100:0.0797171777,'XieH_2016__YSZC12003_37314__bin_29':0.1696536882)100:0.2018306445,('LiJ_2014__V1_UC40_1__bin_50':0.265129638,((('AmatoKR_2018__qiita_sid_11212_11212_Ptr1__bin_14':0.0033603879,(((('E02_WC13_S13__DASTool_bins_concoct_061_sub':0.0096198142,'WC5_39':0.0005463367)100:0.0005485714,'WC8_bin_83':0.0012332058)100:0.0002920197,'WC3_WC3_025':0.0023997194)100:0.0006153089,('D03_WC20_S20__DASTool_bins_concoct_038':0.0083251958,'C03_WC19_S19__DASTool_bins_metabat2_150':1.0008e-06)100:0.0011997517)100:0.0040258832)100:0.0041040471,('F03_WC22_S22__DASTool_bins_concoct_177':0.0043313062,'A04_WC25_S25__DASTool_bins_metabat2_159':0.0010762492)100:0.0147365257)100:0.0045093653,('G04_WC31_S31__DASTool_bins_concoct_150_sub':0.007816155,'WC31_bin_7':0.0176413008)100:0.0042643092)100:0.2836478324)100:0.1051626033)100:0.1321888656;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.858971467,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__;s__
108,0.82398463,0.015,0.148,0.179,11,4,20,"((((('BritoIL_2016__W2_39_ST__bin_86':0.0093679046,('B04_WC26_S26__DASTool_bins_metabat2_439':0.0093390178,'A04_WC25_S25__DASTool_bins_metabat2_189':0.0081566462)100:0.0019522676)100:0.0027865116,'F03_WC22_S22__DASTool_bins_concoct_026_sub':0.0376646784)100:0.0169197601,(('BritoIL_2016__M1_29_ST__bin_36':0.0035677935,('F02_WC14_S14__DASTool_bins_metabat2_002':0.0211989738,'E02_WC13_S13__DASTool_bins_metabat2_469':0.0035470372)100:0.002648249)100:0.0062862618,('Bengtsson_PalmeJ_2015__TRAVELRES18__bin_77':0.0048028394,'D04_WC28_S28__DASTool_bins_metabat2_335_sub':0.0118238219)100:0.0134885018)100:0.0087189485)100:0.0502734807,'D03_WC20_S20__DASTool_bins_maxbin2_083_sub':0.0559735739)100:0.0350170524,'AmatoKR_2018__qiita_sid_11212_11212_AC667__bin_14':0.1041133799)100:0.0633287839;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.243988352,d__Bacteria;p__Firmicutes;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__
109,0.828104666,0.003,0.073,0.083,9,4,4,"(('ZeeviD_2015__PNP_Main_454_megahit__bin_33':0.0013474444,'HeQ_2017__SZAXPI029583_101__bin_11':0.0035116389)100:0.0072187584,(('F03_WC22_S22__DASTool_bins_concoct_149_sub':0.0049288116,'B04_WC26_S26__DASTool_bins_concoct_321_sub':0.0037967229)100:0.0014938303,(('D04_WC28_S28__DASTool_bins_concoct_308_sub':0.0019265384,('D02_WC12_S12__DASTool_bins_13_sub':0.0059824962,'B01_WC2_S2__DASTool_bins_concoct_177':0.0025792788)65:1.0007e-06)100:0.0022346261,('WC34_75_sub':0.0040288288,'A01_WC1_S1__DASTool_bins_concoct_071':0.0074759913)100:0.0006700507)100:0.0016648357)100:0.005139588)100:0.0061536985;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.025752944,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__
110,0.831785306,0.001,0.3,0.554,13,4,12,"(('ZeeviD_2015__PNP_Main_632_megahit__bin_16':0.0077606737,'BritoIL_2016__M1_24_ST__bin_40':0.0184972047)100:0.0034831666,((((('TungJ_2015__F04__bin_12':1.0008e-06,(('TungJ_2015__F05__bin_18':0.000487031,'TungJ_2015__F18__bin_9':0.0065128137)54:1.0007e-06,'TungJ_2015__F06__bin_80':1.0008e-06)62:2.5445e-06)50:1.0007e-06,'TungJ_2015__F21__bin_4':0.0084097578)100:0.0009168414,'TungJ_2015__F15__bin_20':0.000391606)100:0.0002258416,(('TungJ_2015__M04__bin_64':1.0008e-06,'TungJ_2015__M01__bin_133':1.0008e-06)98:1.0007e-06,'TungJ_2015__F31__bin_107':0.0006547913)100:0.0008231516)100:0.0103827687,('B05_WC34_S34__DASTool_bins_concoct_001':0.002235759,'B04_WC26_S26__DASTool_bins_metabat2_349':0.0119934247)100:0.0108375216)100:0.0049851742)100:0.1158426871;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.049796492,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA2903;s__
111,0.838499393,0.001,0.18,0.255,14,4,4,"(((('YuJ_2015__SZAXPI017465_43__bin_4':0.0131368933,('VogtmannE_2016__MMRS84085284ST_27_0_0__bin_21':0.0063323646,('HeQ_2017__RSZAXPI003063_104__bin_16':0.0055441752,'BackhedF_2015__SID10_M__bin_16':0.005598575)100:0.0014312098)100:0.0067569486)100:0.0172628192,'VogtmannE_2016__MMRS15137911ST_27_0_0__bin_28':0.0131419114)60:0.0044270294,('HMP_2012__SRS020869__bin_30':0.0095841132,'ChengpingW_2017__AS81raw__bin_28':0.0093174737)100:0.0058352697)100:0.0215223683,((('F03_WC22_S22__DASTool_bins_concoct_070':0.0191637328,('D04_WC28_S28__DASTool_bins_concoct_340':0.0021023498,'D01_WC4_S4__DASTool_bins_concoct_144_sub':0.0026802879)100:0.0217421518)100:0.0102765803,'D05_WC36_S36__DASTool_bins_concoct_115_sub':0.0435828199)100:0.0306906804,(('E01_WC5_S5__DASTool_bins_concoct_161':0.0032143669,'D04_WC28_S28__DASTool_bins_metabat2_398_sub':0.0020615531)100:0.0035408456,'B05_WC34_S34__DASTool_bins_metabat2_367_sub':0.0052367556)100:0.0472406756)100:0.0400557598)60:0.0239238887;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.17132821,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
112,0.85063307,0.001,0.082,0.084,13,4,12,"((('TungJ_2015__F03__bin_30':0.0009663336,((('TungJ_2015__F06__bin_50':0.0010467256,'TungJ_2015__F11__bin_4':2.0963e-06)100:0.0006132789,((('TungJ_2015__M11__bin_18':0.0009039454,'TungJ_2015__F14__bin_6':1.0008e-06)100:2.5083e-06,'TungJ_2015__F31__bin_65':1.0008e-06)100:0.0002624953,('TungJ_2015__F07__bin_17':0.0005063987,'TungJ_2015__F29__bin_9':0.0001837373)92:5.21552e-05)86:2.4972e-06)92:0.0004741372,'TungJ_2015__M07__bin_16':0.0002432256)100:0.0009415758)100:0.058077592,'CosteaPI_2017__SID713B002_11_90_0__bin_87':0.0400349371)100:0.0973904114,('E02_WC13_S13__DASTool_bins_concoct_240':0.0009273002,('D04_WC28_S28__DASTool_bins_concoct_277':0.0016386477,'D01_WC4_S4__DASTool_bins_concoct_074':0.0008808097)100:0.0010642657)100:0.1465594938)100:0.1372194014;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.307806128,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__
