	ID	inverton_number	group
67	MGYG000000068	1102	4
68	MGYG000000069	1000	3
69	MGYG000000070	1568	4
70	MGYG000000071	1512	4
71	MGYG000000072	937	3
72	MGYG000000073	967	3
73	MGYG000000074	1262	4
74	MGYG000000075	935	3
75	MGYG000000076	1284	4
76	MGYG000000077	1093	4
77	MGYG000000078	1138	4
78	MGYG000000079	932	3
79	MGYG000000080	987	3
80	MGYG000000081	1046	4
81	MGYG000000082	1106	4
82	MGYG000000083	1818	4
83	MGYG000000084	1252	4
84	MGYG000000085	973	3
85	MGYG000000086	1333	4
86	MGYG000000087	1293	4
87	MGYG000000088	654	2
88	MGYG000000089	1032	3
89	MGYG000000090	1332	4
90	MGYG000000091	3512	4
91	MGYG000000092	1178	4
92	MGYG000000093	2766	4
93	MGYG000000094	985	3
94	MGYG000000095	1759	4
95	MGYG000000096	840	3
96	MGYG000000097	605	1
97	MGYG000000098	1705	4
98	MGYG000000099	1588	4
99	MGYG000000100	785	2
100	MGYG000000101	1370	4
101	MGYG000000102	1066	4
102	MGYG000000103	1479	4
103	MGYG000000104	1155	4
104	MGYG000000105	1227	4
105	MGYG000000106	1059	4
106	MGYG000000107	2537	4
107	MGYG000000108	1550	4
108	MGYG000000109	559	1
109	MGYG000000110	1823	4
110	MGYG000000111	1076	4
111	MGYG000000112	1799	4
112	MGYG000000113	690	2
113	MGYG000000114	583	1
114	MGYG000000115	1186	4
115	MGYG000000116	1036	4
116	MGYG000000117	1058	4
117	MGYG000000118	1012	3
118	MGYG000000119	1234	4
119	MGYG000000120	656	2
120	MGYG000000121	1303	4
121	MGYG000000122	866	3
122	MGYG000000123	1828	4
123	MGYG000000124	1740	4
124	MGYG000000125	1096	4
125	MGYG000000126	1374	4
126	MGYG000000127	2109	4
127	MGYG000000128	1264	4
128	MGYG000000129	881	3
129	MGYG000000130	645	2
130	MGYG000000131	1182	4
131	MGYG000000132	966	3
132	MGYG000000133	1156	4
133	MGYG000000134	1302	4
134	MGYG000000135	1876	4
135	MGYG000000136	1201	4
136	MGYG000000137	1354	4
137	MGYG000000138	1630	4
138	MGYG000000139	940	3
139	MGYG000000140	1196	4
140	MGYG000000141	1080	4
141	MGYG000000142	1197	4
142	MGYG000000143	987	3
143	MGYG000000144	1061	4
144	MGYG000000145	1582	4
145	MGYG000000146	1061	4
146	MGYG000000147	1406	4
147	MGYG000000148	789	2
148	MGYG000000149	1128	4
149	MGYG000000150	2258	4
150	MGYG000000151	1139	4
151	MGYG000000152	2159	4
152	MGYG000000153	846	3
153	MGYG000000154	968	3
154	MGYG000000155	740	2
155	MGYG000000156	1003	3
156	MGYG000000157	963	3
157	MGYG000000158	989	3
158	MGYG000000159	962	3
159	MGYG000000160	1005	3
160	MGYG000000161	655	2
161	MGYG000000162	979	3
162	MGYG000000163	688	2
163	MGYG000000164	954	3
164	MGYG000000165	1209	4
165	MGYG000000166	632	2
166	MGYG000000167	999	3
167	MGYG000000168	1659	4
168	MGYG000000169	937	3
169	MGYG000000170	1313	4
170	MGYG000000171	1164	4
171	MGYG000000172	2218	4
172	MGYG000000173	750	2
173	MGYG000000174	2084	4
174	MGYG000000175	1436	4
175	MGYG000000176	1656	4
176	MGYG000000177	796	2
177	MGYG000000178	1176	4
178	MGYG000000179	2274	4
179	MGYG000000180	1095	4
180	MGYG000000181	851	3
181	MGYG000000182	1104	4
182	MGYG000000183	1629	4
183	MGYG000000184	1215	4
184	MGYG000000185	1146	4
185	MGYG000000186	800	2
186	MGYG000000187	966	3
187	MGYG000000188	1018	3
188	MGYG000000189	973	3
189	MGYG000000190	850	3
190	MGYG000000191	1032	3
191	MGYG000000192	1482	4
192	MGYG000000193	1343	4
193	MGYG000000194	1094	4
194	MGYG000000195	1463	4
195	MGYG000000196	2040	4
196	MGYG000000197	1007	3
197	MGYG000000198	2228	4
198	MGYG000000199	614	1
199	MGYG000000200	1457	4
200	MGYG000000201	1495	4
201	MGYG000000202	1792	4
202	MGYG000000203	1282	4
203	MGYG000000204	873	3
204	MGYG000000205	1180	4
205	MGYG000000206	805	2
206	MGYG000000207	970	3
207	MGYG000000208	853	3
208	MGYG000000209	933	3
209	MGYG000000210	970	3
210	MGYG000000211	2105	4
211	MGYG000000212	1235	4
212	MGYG000000213	1472	4
213	MGYG000000214	564	1
214	MGYG000000215	1058	4
215	MGYG000000216	1214	4
216	MGYG000000217	1166	4
217	MGYG000000218	861	3
218	MGYG000000219	1277	4
219	MGYG000000220	1162	4
220	MGYG000000221	1209	4
221	MGYG000000222	1407	4
222	MGYG000000223	1663	4
223	MGYG000000224	1231	4
224	MGYG000000225	828	2
225	MGYG000000226	920	3
226	MGYG000000227	1576	4
227	MGYG000000228	1052	4
228	MGYG000000229	860	3
229	MGYG000000230	627	2
230	MGYG000000231	847	3
231	MGYG000000232	1011	3
232	MGYG000000233	1117	4
233	MGYG000000234	695	2
234	MGYG000000235	1877	4
235	MGYG000000236	1792	4
236	MGYG000000237	1067	4
237	MGYG000000238	1054	4
238	MGYG000000239	1012	3
239	MGYG000000240	988	3
240	MGYG000000241	1151	4
241	MGYG000000242	1286	4
242	MGYG000000243	1310	4
243	MGYG000000244	1052	4
244	MGYG000000245	1303	4
245	MGYG000000246	740	2
246	MGYG000000247	846	3
247	MGYG000000248	795	2
248	MGYG000000249	1006	3
249	MGYG000000250	1159	4
250	MGYG000000251	1174	4
251	MGYG000000252	1175	4
252	MGYG000000253	896	3
253	MGYG000000254	1440	4
254	MGYG000000255	1023	3
255	MGYG000000256	1273	4
256	MGYG000000257	1085	4
257	MGYG000000258	784	2
258	MGYG000000259	990	3
259	MGYG000000260	997	3
260	MGYG000000261	956	3
261	MGYG000000262	1275	4
262	MGYG000000263	1293	4
263	MGYG000000264	1055	4
264	MGYG000000265	1949	4
265	MGYG000000266	1067	4
266	MGYG000000267	605	1
267	MGYG000000268	1045	4
268	MGYG000000269	778	2
269	MGYG000000270	982	3
270	MGYG000000271	1185	4
271	MGYG000000272	1266	4
272	MGYG000000273	1108	4
273	MGYG000000274	1136	4
274	MGYG000000275	1016	3
275	MGYG000000276	959	3
276	MGYG000000277	672	2
277	MGYG000000278	1380	4
278	MGYG000000279	587	1
279	MGYG000000280	739	2
280	MGYG000000281	1385	4
281	MGYG000000282	994	3
282	MGYG000000283	627	2
283	MGYG000000284	1849	4
284	MGYG000000285	744	2
285	MGYG000000286	342	1
286	MGYG000000287	2246	4
287	MGYG000000288	939	3
288	MGYG000000289	1058	4
289	MGYG000000290	965	3
290	MGYG000000291	541	1
291	MGYG000000292	751	2
292	MGYG000000293	501	1
293	MGYG000000294	508	1
294	MGYG000000295	1010	3
295	MGYG000000296	577	1
296	MGYG000000297	560	1
297	MGYG000000298	440	1
298	MGYG000000299	607	1
299	MGYG000000300	579	1
300	MGYG000000301	935	3
301	MGYG000000302	977	3
302	MGYG000000303	720	2
303	MGYG000000304	655	2
304	MGYG000000305	743	2
305	MGYG000000307	698	2
306	MGYG000000308	953	3
307	MGYG000000309	893	3
308	MGYG000000310	437	1
309	MGYG000000311	536	1
310	MGYG000000312	779	2
311	MGYG000000313	802	2
312	MGYG000000314	832	3
313	MGYG000000315	738	2
314	MGYG000000316	720	2
315	MGYG000000317	805	2
316	MGYG000000318	467	1
317	MGYG000000319	793	2
318	MGYG000000320	932	3
319	MGYG000000321	830	3
320	MGYG000000322	1013	3
321	MGYG000000323	1031	3
322	MGYG000000324	850	3
323	MGYG000000325	979	3
324	MGYG000000326	701	2
325	MGYG000000327	690	2
326	MGYG000000328	675	2
327	MGYG000000330	782	2
328	MGYG000000331	931	3
329	MGYG000000332	431	1
330	MGYG000000333	889	3
331	MGYG000000334	932	3
332	MGYG000000335	523	1
333	MGYG000000336	395	1
334	MGYG000000337	1530	4
335	MGYG000000338	1370	4
336	MGYG000000339	691	2
337	MGYG000000342	350	1
338	MGYG000000343	1249	4
339	MGYG000000344	955	3
340	MGYG000000345	1964	4
341	MGYG000000346	696	2
342	MGYG000000347	586	1
343	MGYG000000348	832	3
344	MGYG000000349	481	1
345	MGYG000000350	480	1
346	MGYG000000351	583	1
347	MGYG000000352	552	1
348	MGYG000000353	914	3
349	MGYG000000354	910	3
350	MGYG000000355	948	3
351	MGYG000000356	941	3
352	MGYG000000357	880	3
353	MGYG000000358	555	1
354	MGYG000000359	829	2
355	MGYG000000360	2163	4
356	MGYG000000361	559	1
357	MGYG000000362	895	3
358	MGYG000000363	738	2
359	MGYG000000364	857	3
360	MGYG000000365	355	1
361	MGYG000000366	1110	4
362	MGYG000000367	502	1
363	MGYG000000368	604	1
364	MGYG000000369	831	3
365	MGYG000000370	1100	4
366	MGYG000000371	818	2
367	MGYG000000372	378	1
368	MGYG000000373	983	3
369	MGYG000000374	500	1
370	MGYG000000375	398	1
371	MGYG000000376	174	1
372	MGYG000000377	918	3
373	MGYG000000378	790	2
374	MGYG000000379	677	2
375	MGYG000000380	635	2
376	MGYG000000381	273	1
377	MGYG000000382	384	1
378	MGYG000000383	552	1
379	MGYG000000384	376	1
380	MGYG000000385	713	2
381	MGYG000000386	715	2
382	MGYG000000387	882	3
383	MGYG000000388	890	3
384	MGYG000000389	772	2
385	MGYG000000390	742	2
386	MGYG000000391	647	2
387	MGYG000000392	767	2
388	MGYG000000393	702	2
389	MGYG000000394	773	2
390	MGYG000000395	591	1
391	MGYG000000396	903	3
392	MGYG000000397	469	1
393	MGYG000000398	889	3
394	MGYG000000399	545	1
395	MGYG000000400	944	3
396	MGYG000000401	377	1
397	MGYG000000402	595	1
398	MGYG000000403	692	2
399	MGYG000000404	613	1
400	MGYG000000405	953	3
401	MGYG000000406	795	2
402	MGYG000000407	363	1
403	MGYG000000408	545	1
404	MGYG000000409	1046	4
405	MGYG000000410	749	2
406	MGYG000000411	447	1
407	MGYG000000412	1032	3
408	MGYG000000413	869	3
409	MGYG000000414	1012	3
410	MGYG000000415	834	3
411	MGYG000000416	856	3
412	MGYG000000417	1042	4
413	MGYG000000418	599	1
414	MGYG000000419	327	1
415	MGYG000000420	678	2
416	MGYG000000421	459	1
417	MGYG000000422	663	2
418	MGYG000000423	493	1
419	MGYG000000424	1047	4
420	MGYG000000425	552	1
421	MGYG000000426	287	1
422	MGYG000000427	723	2
423	MGYG000000428	649	2
424	MGYG000000429	929	3
425	MGYG000000430	347	1
426	MGYG000000431	611	1
427	MGYG000000432	461	1
428	MGYG000000433	613	1
429	MGYG000000434	247	1
430	MGYG000000435	688	2
431	MGYG000000436	727	2
432	MGYG000000437	1354	4
433	MGYG000000438	689	2
434	MGYG000000440	1057	4
435	MGYG000000441	836	3
436	MGYG000000442	1003	3
437	MGYG000000443	544	1
438	MGYG000000444	987	3
439	MGYG000000445	518	1
440	MGYG000000446	374	1
441	MGYG000000447	679	2
442	MGYG000000448	841	3
443	MGYG000000449	393	1
444	MGYG000000450	1118	4
445	MGYG000000451	609	1
446	MGYG000000452	816	2
447	MGYG000000453	722	2
448	MGYG000000454	340	1
449	MGYG000000455	803	2
450	MGYG000000456	651	2
451	MGYG000000457	766	2
452	MGYG000000458	506	1
453	MGYG000000459	509	1
454	MGYG000000460	634	2
455	MGYG000000461	384	1
456	MGYG000000462	592	1
457	MGYG000000463	601	1
458	MGYG000000464	616	1
459	MGYG000000465	264	1
460	MGYG000000466	818	2
461	MGYG000000467	924	3
462	MGYG000000468	1180	4
463	MGYG000000469	398	1
464	MGYG000000470	709	2
465	MGYG000000471	737	2
466	MGYG000000472	565	1
467	MGYG000000473	802	2
468	MGYG000000474	834	3
469	MGYG000000475	571	1
470	MGYG000000476	1233	4
471	MGYG000000477	597	1
472	MGYG000000478	756	2
473	MGYG000000479	851	3
474	MGYG000000480	1047	4
475	MGYG000000481	871	3
476	MGYG000000482	335	1
477	MGYG000000483	796	2
478	MGYG000000484	722	2
479	MGYG000000485	811	2
480	MGYG000000486	683	2
481	MGYG000000487	1050	4
482	MGYG000000488	680	2
483	MGYG000000489	825	2
484	MGYG000000490	1047	4
485	MGYG000000491	788	2
486	MGYG000000492	526	1
487	MGYG000000493	672	2
488	MGYG000000494	450	1
489	MGYG000000495	662	2
490	MGYG000000496	367	1
491	MGYG000000497	404	1
492	MGYG000000498	422	1
493	MGYG000000499	1019	3
494	MGYG000000500	946	3
495	MGYG000000501	782	2
496	MGYG000000502	640	2
497	MGYG000000503	793	2
498	MGYG000000504	901	3
499	MGYG000000505	326	1
500	MGYG000000506	571	1
501	MGYG000000507	1019	3
502	MGYG000000508	762	2
503	MGYG000000509	485	1
504	MGYG000000510	918	3
505	MGYG000000511	745	2
506	MGYG000000512	678	2
507	MGYG000000513	1042	4
508	MGYG000000514	962	3
509	MGYG000000515	817	2
510	MGYG000000516	834	3
511	MGYG000000517	978	3
512	MGYG000000518	622	2
513	MGYG000000519	514	1
514	MGYG000000520	726	2
515	MGYG000000521	329	1
516	MGYG000000522	615	1
517	MGYG000000523	701	2
518	MGYG000000524	806	2
519	MGYG000000525	840	3
520	MGYG000000526	1191	4
521	MGYG000000527	512	1
522	MGYG000000528	599	1
523	MGYG000000529	803	2
524	MGYG000000530	754	2
525	MGYG000000531	970	3
526	MGYG000000532	867	3
527	MGYG000000533	669	2
528	MGYG000000534	1078	4
529	MGYG000000535	1191	4
530	MGYG000000536	645	2
531	MGYG000000537	876	3
532	MGYG000000538	1636	4
533	MGYG000000539	975	3
534	MGYG000000540	359	1
535	MGYG000000541	1047	4
536	MGYG000000542	771	2
537	MGYG000000543	839	3
538	MGYG000000544	784	2
539	MGYG000000545	582	1
540	MGYG000000546	857	3
541	MGYG000000547	638	2
542	MGYG000000548	1409	4
543	MGYG000000549	717	2
544	MGYG000000550	1130	4
545	MGYG000000551	929	3
546	MGYG000000552	391	1
547	MGYG000000553	893	3
548	MGYG000000554	554	1
549	MGYG000000555	899	3
550	MGYG000000556	831	3
551	MGYG000000557	822	2
552	MGYG000000558	720	2
553	MGYG000000559	988	3
554	MGYG000000560	611	1
555	MGYG000000561	985	3
556	MGYG000000562	948	3
557	MGYG000000563	894	3
558	MGYG000000564	748	2
559	MGYG000000565	1001	3
560	MGYG000000566	679	2
561	MGYG000000567	552	1
562	MGYG000000568	799	2
563	MGYG000000570	376	1
564	MGYG000000571	612	1
565	MGYG000000572	714	2
566	MGYG000000573	919	3
567	MGYG000000574	1477	4
568	MGYG000000575	2169	4
569	MGYG000000576	573	1
570	MGYG000000577	556	1
571	MGYG000000578	330	1
572	MGYG000000579	996	3
573	MGYG000000580	604	1
574	MGYG000000581	500	1
575	MGYG000000582	620	2
576	MGYG000000583	803	2
577	MGYG000000584	1131	4
578	MGYG000000585	1577	4
579	MGYG000000586	524	1
580	MGYG000000587	525	1
581	MGYG000000588	604	1
582	MGYG000000589	980	3
583	MGYG000000590	384	1
584	MGYG000000591	727	2
585	MGYG000000592	1019	3
586	MGYG000000593	864	3
587	MGYG000000594	947	3
588	MGYG000000595	1258	4
589	MGYG000000596	942	3
590	MGYG000000597	1046	4
591	MGYG000000598	993	3
592	MGYG000000599	906	3
593	MGYG000000600	974	3
594	MGYG000000601	428	1
595	MGYG000000602	639	2
596	MGYG000000603	662	2
597	MGYG000000604	1643	4
598	MGYG000000605	829	2
599	MGYG000000606	1153	4
600	MGYG000000607	342	1
601	MGYG000000608	829	2
602	MGYG000000609	454	1
603	MGYG000000610	609	1
604	MGYG000000611	1104	4
605	MGYG000000612	789	2
606	MGYG000000613	1561	4
607	MGYG000000614	1132	4
608	MGYG000000615	790	2
609	MGYG000000616	726	2
610	MGYG000000617	595	1
611	MGYG000000618	704	2
612	MGYG000000619	751	2
613	MGYG000000620	1269	4
614	MGYG000000621	847	3
615	MGYG000000622	654	2
616	MGYG000000623	997	3
617	MGYG000000624	913	3
618	MGYG000000625	622	2
619	MGYG000000626	669	2
620	MGYG000000627	632	2
621	MGYG000000628	672	2
622	MGYG000000630	995	3
623	MGYG000000631	966	3
624	MGYG000000632	1087	4
625	MGYG000000633	1500	4
626	MGYG000000634	903	3
627	MGYG000000635	1073	4
628	MGYG000000636	1051	4
629	MGYG000000637	409	1
630	MGYG000000638	779	2
631	MGYG000000639	814	2
632	MGYG000000640	990	3
633	MGYG000000641	953	3
634	MGYG000000642	577	1
635	MGYG000000643	1033	4
636	MGYG000000644	1173	4
637	MGYG000000645	933	3
638	MGYG000000646	681	2
639	MGYG000000647	831	3
640	MGYG000000648	893	3
641	MGYG000000649	901	3
642	MGYG000000650	942	3
643	MGYG000000651	1078	4
644	MGYG000000652	1027	3
645	MGYG000000653	822	2
646	MGYG000000654	565	1
647	MGYG000000655	854	3
648	MGYG000000656	468	1
649	MGYG000000657	2033	4
650	MGYG000000658	622	2
651	MGYG000000659	837	3
652	MGYG000000660	889	3
653	MGYG000000661	392	1
654	MGYG000000662	552	1
655	MGYG000000663	863	3
656	MGYG000000664	879	3
657	MGYG000000665	304	1
658	MGYG000000666	2215	4
659	MGYG000000667	833	3
660	MGYG000000668	879	3
661	MGYG000000669	699	2
662	MGYG000000670	1032	3
663	MGYG000000671	1039	4
664	MGYG000000672	1005	3
665	MGYG000000673	855	3
666	MGYG000000674	726	2
667	MGYG000000675	1852	4
668	MGYG000000676	918	3
669	MGYG000000677	823	2
670	MGYG000000678	882	3
671	MGYG000000679	488	1
672	MGYG000000680	662	2
673	MGYG000000681	427	1
674	MGYG000000682	782	2
675	MGYG000000683	959	3
676	MGYG000000684	916	3
677	MGYG000000685	852	3
678	MGYG000000686	720	2
679	MGYG000000687	802	2
680	MGYG000000688	519	1
681	MGYG000000689	620	2
682	MGYG000000690	847	3
683	MGYG000000691	884	3
684	MGYG000000692	897	3
685	MGYG000000693	937	3
686	MGYG000000694	931	3
687	MGYG000000695	1149	4
688	MGYG000000696	1091	4
689	MGYG000000698	719	2
690	MGYG000000699	564	1
691	MGYG000000700	891	3
692	MGYG000000701	1035	4
693	MGYG000000702	792	2
694	MGYG000000703	988	3
695	MGYG000000704	958	3
696	MGYG000000705	650	2
697	MGYG000000706	808	2
698	MGYG000000707	1057	4
699	MGYG000000708	469	1
700	MGYG000000709	553	1
701	MGYG000000710	899	3
702	MGYG000000711	503	1
703	MGYG000000712	694	2
704	MGYG000000713	654	2
705	MGYG000000714	620	2
706	MGYG000000715	874	3
707	MGYG000000716	939	3
708	MGYG000000717	945	3
709	MGYG000000718	680	2
710	MGYG000000719	758	2
711	MGYG000000720	1841	4
712	MGYG000000721	681	2
713	MGYG000000722	896	3
714	MGYG000000723	719	2
715	MGYG000000724	871	3
716	MGYG000000725	884	3
717	MGYG000000726	598	1
718	MGYG000000727	1110	4
719	MGYG000000728	600	1
720	MGYG000000729	768	2
721	MGYG000000730	853	3
722	MGYG000000731	707	2
723	MGYG000000732	499	1
724	MGYG000000733	592	1
725	MGYG000000734	951	3
726	MGYG000000735	983	3
727	MGYG000000736	757	2
728	MGYG000000737	651	2
729	MGYG000000738	262	1
730	MGYG000000739	954	3
731	MGYG000000740	1180	4
732	MGYG000000741	1058	4
733	MGYG000000742	1005	3
734	MGYG000000743	944	3
735	MGYG000000744	845	3
736	MGYG000000745	1206	4
737	MGYG000000746	793	2
738	MGYG000000747	1091	4
739	MGYG000000748	821	2
740	MGYG000000749	472	1
741	MGYG000000750	713	2
742	MGYG000000751	402	1
743	MGYG000000752	1153	4
744	MGYG000000753	769	2
745	MGYG000000754	387	1
746	MGYG000000755	769	2
747	MGYG000000756	774	2
748	MGYG000000757	310	1
749	MGYG000000758	350	1
750	MGYG000000759	717	2
751	MGYG000000760	967	3
752	MGYG000000762	535	1
753	MGYG000000763	459	1
754	MGYG000000764	848	3
755	MGYG000000765	792	2
756	MGYG000000766	459	1
757	MGYG000000767	976	3
758	MGYG000000768	990	3
759	MGYG000000769	916	3
760	MGYG000000770	956	3
761	MGYG000000771	611	1
762	MGYG000000772	892	3
763	MGYG000000773	940	3
764	MGYG000000774	1170	4
765	MGYG000000775	892	3
766	MGYG000000776	557	1
767	MGYG000000777	961	3
768	MGYG000000778	905	3
769	MGYG000000779	757	2
770	MGYG000000780	900	3
771	MGYG000000781	839	3
772	MGYG000000782	556	1
773	MGYG000000783	575	1
774	MGYG000000784	397	1
775	MGYG000000785	383	1
776	MGYG000000786	500	1
777	MGYG000000787	904	3
778	MGYG000000788	952	3
779	MGYG000000789	900	3
780	MGYG000000790	637	2
781	MGYG000000791	415	1
782	MGYG000000792	396	1
783	MGYG000000793	740	2
784	MGYG000000794	749	2
785	MGYG000000795	840	3
786	MGYG000000796	933	3
787	MGYG000000797	888	3
788	MGYG000000798	963	3
789	MGYG000000801	1011	3
790	MGYG000000802	995	3
791	MGYG000000803	199	1
792	MGYG000000805	925	3
793	MGYG000000806	898	3
794	MGYG000000807	618	1
795	MGYG000000808	879	3
796	MGYG000000809	919	3
797	MGYG000000810	1172	4
798	MGYG000000811	907	3
799	MGYG000000812	836	3
800	MGYG000000813	769	2
801	MGYG000000814	569	1
802	MGYG000000815	1514	4
803	MGYG000000817	844	3
804	MGYG000000818	359	1
805	MGYG000000820	870	3
806	MGYG000000821	1159	4
807	MGYG000000822	798	2
808	MGYG000000823	918	3
809	MGYG000000824	715	2
810	MGYG000000825	848	3
811	MGYG000000826	923	3
812	MGYG000000827	954	3
813	MGYG000000829	1235	4
814	MGYG000000830	970	3
815	MGYG000000832	969	3
816	MGYG000000835	938	3
817	MGYG000000836	722	2
818	MGYG000000837	800	2
819	MGYG000000838	691	2
820	MGYG000000839	788	2
821	MGYG000000840	1388	4
822	MGYG000000842	908	3
823	MGYG000000843	930	3
824	MGYG000000844	476	1
825	MGYG000000845	994	3
826	MGYG000000846	917	3
827	MGYG000000847	659	2
828	MGYG000000850	509	1
829	MGYG000000851	674	2
830	MGYG000000852	1090	4
831	MGYG000000858	981	3
832	MGYG000000859	833	3
833	MGYG000000860	663	2
834	MGYG000000862	1029	3
835	MGYG000000863	912	3
836	MGYG000000866	576	1
837	MGYG000000867	532	1
838	MGYG000000868	847	3
839	MGYG000000869	265	1
840	MGYG000000870	1368	4
841	MGYG000000872	835	3
842	MGYG000000873	712	2
843	MGYG000000874	517	1
844	MGYG000000875	798	2
845	MGYG000000876	673	2
846	MGYG000000877	817	2
847	MGYG000000878	878	3
848	MGYG000000879	991	3
849	MGYG000000880	742	2
850	MGYG000000881	901	3
851	MGYG000000883	636	2
852	MGYG000000884	1002	3
853	MGYG000000885	937	3
854	MGYG000000886	787	2
855	MGYG000000887	360	1
856	MGYG000000889	796	2
857	MGYG000000892	946	3
858	MGYG000000894	429	1
859	MGYG000000896	946	3
860	MGYG000000897	623	2
861	MGYG000000898	893	3
862	MGYG000000899	652	2
863	MGYG000000900	810	2
864	MGYG000000901	909	3
865	MGYG000000902	1506	4
866	MGYG000000903	408	1
867	MGYG000000904	735	2
868	MGYG000000905	374	1
869	MGYG000000906	638	2
870	MGYG000000907	758	2
871	MGYG000000908	773	2
872	MGYG000000909	947	3
873	MGYG000000910	450	1
874	MGYG000000911	1121	4
875	MGYG000000913	703	2
876	MGYG000000914	583	1
877	MGYG000000915	1130	4
878	MGYG000000916	633	2
879	MGYG000000917	456	1
880	MGYG000000918	1290	4
881	MGYG000000919	1460	4
882	MGYG000000920	1071	4
883	MGYG000000921	834	3
884	MGYG000000922	1198	4
885	MGYG000000923	959	3
886	MGYG000000924	644	2
887	MGYG000000925	418	1
888	MGYG000000926	474	1
889	MGYG000000927	550	1
890	MGYG000000928	804	2
891	MGYG000000929	376	1
892	MGYG000000930	796	2
893	MGYG000000931	580	1
894	MGYG000000932	781	2
895	MGYG000000933	583	1
896	MGYG000000934	664	2
897	MGYG000000935	629	2
898	MGYG000000936	893	3
899	MGYG000000937	789	2
900	MGYG000000938	1068	4
901	MGYG000000939	880	3
902	MGYG000000940	850	3
903	MGYG000000941	1005	3
904	MGYG000000942	789	2
905	MGYG000000943	396	1
906	MGYG000000944	755	2
907	MGYG000000945	429	1
908	MGYG000000946	491	1
909	MGYG000000947	682	2
910	MGYG000000948	414	1
911	MGYG000000949	699	2
912	MGYG000000950	446	1
913	MGYG000000951	856	3
914	MGYG000000952	408	1
915	MGYG000000953	653	2
916	MGYG000000955	647	2
917	MGYG000000956	702	2
918	MGYG000000958	401	1
919	MGYG000000959	833	3
920	MGYG000000960	251	1
921	MGYG000000962	393	1
922	MGYG000000963	500	1
923	MGYG000000964	1159	4
924	MGYG000000965	569	1
925	MGYG000000966	938	3
926	MGYG000000967	587	1
927	MGYG000000968	561	1
928	MGYG000000969	814	2
929	MGYG000000970	493	1
930	MGYG000000971	1896	4
931	MGYG000000972	336	1
932	MGYG000000973	744	2
933	MGYG000000974	645	2
934	MGYG000000976	531	1
935	MGYG000000977	938	3
936	MGYG000000978	378	1
937	MGYG000000979	857	3
938	MGYG000000980	581	1
939	MGYG000000981	878	3
940	MGYG000000982	418	1
941	MGYG000000984	771	2
942	MGYG000000985	833	3
943	MGYG000000986	924	3
944	MGYG000000987	849	3
945	MGYG000000988	1031	3
946	MGYG000000989	1092	4
947	MGYG000000990	834	3
948	MGYG000000991	1111	4
949	MGYG000000992	584	1
950	MGYG000000993	748	2
951	MGYG000000994	460	1
952	MGYG000000995	944	3
953	MGYG000000996	821	2
954	MGYG000000997	630	2
955	MGYG000000998	187	1
956	MGYG000001000	662	2
957	MGYG000001001	1039	4
958	MGYG000001002	929	3
959	MGYG000001003	913	3
960	MGYG000001004	970	3
961	MGYG000001005	682	2
962	MGYG000001006	765	2
963	MGYG000001007	844	3
964	MGYG000001008	1081	4
965	MGYG000001009	634	2
966	MGYG000001010	575	1
967	MGYG000001011	348	1
968	MGYG000001012	723	2
969	MGYG000001013	501	1
970	MGYG000001014	576	1
971	MGYG000001015	581	1
972	MGYG000001016	1002	3
973	MGYG000001017	528	1
974	MGYG000001018	830	3
975	MGYG000001019	877	3
976	MGYG000001020	392	1
977	MGYG000001021	964	3
